rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B3,3,3000,lam=3000,False,X_prior_composite,6,0.026244252347318413,0.010714171155294968
B3,3,10000,lam=10000,False,phase1_backbone,88,0.066507235377556526,0.0070896951126631236
B3,3,10000,lam=10000,False,C_context,20,0.0098130922338404217,0.0021942741304342445
B3,3,10000,lam=10000,False,X_prior_composite,6,0.016123786188724266,0.0065825081473515276
B3,4,100,lam=100,False,phase1_backbone,88,0.43255853519526899,0.046110894784682437
B3,4,100,lam=100,False,C_context,20,0.20927910620281528,0.046796230773989284
B3,4,100,lam=100,False,X_prior_composite,6,0.1629385632679467,0.066519389904777237
B3,4,300,lam=300,False,phase1_backbone,88,0.28993748643573197,0.030907439903221569
B3,4,300,lam=300,False,C_context,20,0.14090933287393462,0.031508284697026358
B3,4,300,lam=300,False,X_prior_composite,6,0.089767863373353435,0.036647576760765167
B3,4,1000,lam=1000,True,phase1_backbone,88,0.19150132272756787,0.020414109594282207
B3,4,1000,lam=1000,True,C_context,20,0.071842832401869658,0.016064545694670505
B3,4,1000,lam=1000,True,X_prior_composite,6,0.048014729582351132,0.019601931269079522
B3,4,3000,lam=3000,False,phase1_backbone,88,0.1319295305307181,0.014063735208804237
B3,4,3000,lam=3000,False,C_context,20,0.031826178118110844,0.0071165497736112174
B3,4,3000,lam=3000,False,X_prior_composite,6,0.030674106949417794,0.012522651723605515
B3,4,10000,lam=10000,False,phase1_backbone,88,0.078061088003774218,0.0083213399409515047
B3,4,10000,lam=10000,False,C_context,20,0.011156855123061664,0.0024947486470282658
B3,4,10000,lam=10000,False,X_prior_composite,6,0.018818131829248838,0.007682470149014446
B4,1,100,lam=100,False,phase1_backbone,88,0.38266412866532351,0.040792133177521228
B4,1,100,lam=100,False,C_context,20,0.26379012957614945,0.058985266152574795
B4,1,100,lam=100,False,X_prior_composite,9,0,0
B4,1,300,lam=300,False,phase1_backbone,88,0.22759595111791206,0.024261809908987672
B4,1,300,lam=300,False,C_context,20,0.14451298962254869,0.032314086842774051
