rung,fold,test_season,lambda,lambda_label,is_selected,is_frozen_lambda,design_columns,train_matches,test_matches,newton_iterations,gradient_norm,constant_columns,coef_l2_norm,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap
B3,4,2025-2026,100,lam=100,False,False,114,1520,380,6,1.056932319443149e-13,2,0.50739886289106784,0.4631578947368421,0.40719081654754169,0.34400651040358471,1.0679611469648036,0.643437257124993,0.21714548871436154,0.94267796194579001,0.12528318501901359
B3,4,2025-2026,300,lam=300,False,False,114,1520,380,6,5.5067062021407764e-14,2,0.33463032651907776,0.47368421052631576,0.41455490578297599,0.34895638550563501,1.0554719912372583,0.63559853462802962,0.21458097017532254,0.95078292784152174,0.10468906339573658
B3,4,2025-2026,1000,lam=1000,True,False,114,1520,380,6,9.4146912488213275e-14,2,0.21009417752712123,0.48421052631578948,0.42365172189733591,0.35713097360156182,1.0452506146083391,0.62845966888440452,0.21242862556888342,0.96259084302365738,0.08265977158468174
B3,4,2025-2026,3000,lam=3000,False,False,114,1520,380,5,2.1121770998888678e-11,2,0.1391373690882709,0.49473684210526314,0.43014944769330737,0.36232381546783171,1.0418896247773408,0.62561652664057921,0.2119087348733534,0.97637321403151567,0.065516410745825149
B3,4,2025-2026,10000,lam=10000,False,False,114,1520,380,5,3.5527136788005009e-13,2,0.081068680525298781,0.49210526315789471,0.42029456356941736,0.35080307738812766,1.0484197615607773,0.62956702553618915,0.21430793184184005,0.99910974805560526,0.049310013505172057
B4,1,2022-2023,100,lam=100,False,False,117,380,380,6,4.8849813083506888e-14,38,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730508,0.21538404320977872,0.90740655281932314,0.11258989312348033
B4,1,2022-2023,300,lam=300,False,False,117,380,380,5,1.1650236331206543e-11,38,0.26959955700058907,0.51052631578947372,0.41828760696104544,0.37047524609434007,1.0019052778823843,0.59868823182394204,0.21093881931462546,0.93876563900911014,0.063139638873274118
B4,1,2022-2023,1000,lam=1000,False,False,117,380,380,5,4.4408920985006262e-14,38,0.14528020882416584,0.52894736842105261,0.42645592341443955,0.37269769621138632,0.99993897067164961,0.59681244528410071,0.21050639335862528,0.97373266123864644,0.026206309433003172
B4,1,2022-2023,3000,lam=3000,True,False,117,380,380,5,4.2632564145606011e-14,38,0.077217957415563712,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098364,0.2149715802340085,1.0067211041473385,0.0065774242276475103
B4,1,2022-2023,10000,lam=10000,False,False,117,380,380,5,9.2370555648813024e-14,38,0.031671297321464155,0.49473684210526314,0.34805876878074721,0.2534111922141119,1.0339160881911271,0.62091090785423353,0.22237047549960196,1.0394000443451805,-0.0054839561540533932
B4,2,2023-2024,100,lam=100,False,False,117,760,380,6,3.5527136788005009e-14,4,0.49519739613336783,0.55263157894736847,0.45640727835849787,0.4241273286308555,0.98154993797956658,0.58024845599492114,0.20125642124060014,0.92908977440286711,0.05246016357669947
