rung,fold,test_season,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,inner_best_log_loss,inner_log_loss_at_frozen,inner_folds,design_columns,coef_l2_norm,test_accuracy,test_balanced_accuracy,test_macro_f1,test_log_loss,test_brier_score,test_rps,train_log_loss,generalisation_gap,inner_ll_lam_100,inner_ll_lam_300,inner_ll_lam_1000,inner_ll_lam_3000,inner_ll_lam_10000
B3,2,2023-2024,1000,lam=1000,False,False,0.99618398467373515,,3,114,0.17121919749841061,0.57894736842105265,0.47138985675571038,0.41765525190913017,0.96251074405391324,0.56904099074308345,0.1992029930270468,0.96779867557226595,-0.0052879315183527176,1.0481257765933576,1.0043718000528477,0.99618398467373515,1.0100878310574972,1.0317459594194278
B3,3,2024-2025,1000,lam=1000,False,False,0.97783610900951423,,3,114,0.1908055415735615,0.51052631578947372,0.44081133919843601,0.37695798565363786,1.0012938203786799,0.59863830230293313,0.20612573652973046,0.95890107135947689,0.04239274901920298,0.99724705036166306,0.98070554941323074,0.97783610900951423,0.99042140475117779,1.015689692695646
B3,4,2025-2026,1000,lam=1000,False,False,0.9879145117014142,,3,114,0.21009417752712123,0.48421052631578948,0.42365172189733591,0.35713097360156182,1.0452506146083391,0.62845966888440452,0.21242862556888342,0.96259084302365738,0.08265977158468174,1.0031057273654016,0.99024383418883488,0.9879145117014142,0.99830705241685713,1.0213387269404917
B4,1,2022-2023,3000,lam=3000,False,False,1.0454284870918387,,3,117,0.077217957415563712,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098364,0.2149715802340085,1.0067211041473385,0.0065774242276475103,1.1649549679310087,1.0869107316822424,1.0454462804955338,1.0454284870918387,1.0583344425653374
B4,2,2023-2024,1000,lam=1000,False,False,0.99592025365268866,,3,117,0.17279285529822719,0.57631578947368423,0.46867982965543947,0.41559713416834182,0.9628508344190535,0.56918524135302095,0.19920954818208572,0.96700935038056024,-0.0041585159615067369,1.0479561706231431,1.0039458464809234,0.99592025365268866,1.0099767609339525,1.0317082444042085
B4,3,2024-2025,1000,lam=1000,False,False,0.97813990448931143,,3,117,0.19159589082429554,0.50789473684210529,0.43828608667318347,0.37446293108943712,1.0020993960735469,0.59923271980863824,0.20635343744000564,0.95857629416180778,0.043523101911739137,0.99999219052908339,0.98176122321010606,0.97813990448931143,0.99049566342789797,1.0156900843162733
B4,4,2025-2026,1000,lam=1000,False,False,0.98829640038808331,,3,117,0.21053111431628832,0.48421052631578948,0.42365172189733591,0.35713097360156182,1.0445259099662569,0.62808263172070022,0.2123629135615322,0.9624507703441596,0.082075139622097337,1.0055583500099767,0.99132114938041616,0.98829640038808331,0.99844977476236041,1.0213808548762542
B5,1,2022-2023,3000,lam=3000,False,False,1.0454284870918387,,3,126,0.077217957415563726,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098376,0.2149715802340085,1.0067211041473385,0.0065774242276475103,1.1649549679310087,1.0869107316822424,1.0454462804955338,1.0454284870918387,1.0583344425653374
B5,2,2023-2024,1000,lam=1000,False,False,0.99591776351504357,,3,126,0.17442515602294015,0.5736842105263158,0.46677506775067751,0.41489850458460326,0.96321753350006534,0.56929913857007219,0.19922123349079798,0.96611158034762135,-0.0028940468475560088,1.0501087218747931,1.0043157710158817,0.99591776351504357,1.0098818413203687,1.0314740328774508
B5,3,2024-2025,1000,lam=1000,False,False,0.97834957244381293,,3,126,0.19322396373742731,0.51315789473684215,0.4433365917236885,0.37902628831735785,1.0020073533703342,0.59931538933105988,0.20643349204453271,0.95774531181423062,0.044262041556103582,1.0045031281793835,0.98285309423863865,0.97834957244381293,0.99038202673788633,1.0151766233530313
B5,4,2025-2026,1000,lam=1000,False,False,0.98838795251401645,,3,126,0.21356479140359952,0.48947368421052634,0.42863331167424734,0.36158560393854505,1.0458264119372711,0.62861594242564645,0.21235913406299012,0.96130804495516242,0.084518366982108684,1.0095329535251887,0.9921218551484321,0.98838795251401645,0.99845478726621428,1.0211171333833038
B6,1,2022-2023,3000,lam=3000,False,False,1.0454284870918387,,3,132,0.077217957415563726,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098364,0.21497158023400856,1.0067211041473383,0.0065774242276477324,1.1649549679310087,1.0869107316822422,1.0454462804955338,1.0454284870918387,1.0583344425653374
B6,2,2023-2024,1000,lam=1000,False,False,0.99555564011955078,,3,132,0.1768775884173813,0.57631578947368423,0.46867982965543947,0.41585147379138793,0.96315082162714527,0.56921930903056805,0.19936076032808381,0.96487007850646178,-0.0017192568793165108,1.0505957881167052,1.0040178669022544,0.99555564011955078,1.0097279449482786,1.031407997809435
B6,3,2024-2025,1000,lam=1000,False,False,0.97799396507832403,,3,132,0.19860122327923033,0.50789473684210529,0.43866080156402737,0.374930302108678,1.0042672293116419,0.60053040071089681,0.2066750701844095,0.95554228053770518,0.048724948773936738,1.0047606337474349,0.98253797950772503,0.97799396507832403,0.99021341592594669,1.0150472286408976
B6,4,2025-2026,1000,lam=1000,False,False,0.98911900720347889,,3,132,0.21672556652294328,0.48947368421052634,0.42863331167424734,0.36158560393854505,1.0452428921335761,0.62811610362710801,0.21201240429385215,0.96018559975548123,0.085057292378094895,1.0141605737278951,0.99446671789499452,0.98911900720347889,0.99869397207664878,1.0211685355824642
