model,fold,test_season,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
dc_walkforward,2,2023-2024,380,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94144397656960632,0.5541215983653951,0.19288271843416613
dc_walkforward,3,2024-2025,380,0.52894736842105261,0.46298468556533073,0.39933582399335821,0.97666308689341053,0.5838347235413579,0.20051496169776767
dc_walkforward,4,2025-2026,380,0.46842105263157896,0.41765173855817128,0.35710427014917173,1.0453634800259535,0.62611691272567171,0.21280656883647109
D1,1,2022-2023,380,0.53157894736842104,0.42702100784470148,0.37331122696976354,0.99681289908311221,0.59406660945927814,0.20907205607563714
D1,2,2023-2024,380,0.56578947368421051,0.46267131242741,0.41012176560121766,0.9629609815274065,0.56974079771686781,0.20002818074874412
D1,3,2024-2025,380,0.5,0.43220918866080155,0.3696785020314432,1.0111170015383215,0.60626116148306963,0.20937580274606593
D1,4,2025-2026,380,0.49473684210526314,0.43361490145115877,0.36641679364852103,1.0448237591047551,0.62757059034777851,0.21227041931586876
market_B365C_proportional,1,2022-2023,380,0.55526315789473679,0.46451602180561097,0.40452639873916474,0.96171300427412054,0.57078051394518847,0.19741749134187545
market_B365C_proportional,2,2023-2024,380,0.59736842105263155,0.50002322880371664,0.44126727321753728,0.89968373320170414,0.52597929866818893,0.18043327333608841
market_B365C_proportional,3,2024-2025,380,0.55526315789473679,0.48336591723688499,0.4172534332084894,0.96776868479685374,0.57577478897092516,0.19629111742855099
market_B365C_proportional,4,2025-2026,380,0.49736842105263157,0.44173705869612306,0.37237696034264373,1.0131281381814481,0.60824274587382599,0.20462532574423786
market_B365C_shin,1,2022-2023,380,0.55526315789473679,0.46451602180561097,0.40452639873916474,0.96178958549832305,0.57074561916834265,0.19740468102641962
market_B365C_shin,2,2023-2024,380,0.59736842105263155,0.50002322880371664,0.44126727321753728,0.89745006872540167,0.52470879609200671,0.17986222221054191
market_B365C_shin,3,2024-2025,380,0.55526315789473679,0.48336591723688499,0.4172534332084894,0.96753585676950793,0.57585532791102001,0.19626700447289772
market_B365C_shin,4,2025-2026,380,0.49736842105263157,0.44173705869612306,0.37237696034264373,1.013662922723598,0.60890650048298545,0.20483780717758909
market_AvgC_proportional,1,2022-2023,380,0.55526315789473679,0.46451602180561097,0.40452639873916474,0.9620391828743412,0.57119094436140727,0.19747324179913633
market_AvgC_proportional,2,2023-2024,380,0.59999999999999998,0.50273325590398754,0.44353667392883084,0.90070131282797949,0.52674583089111982,0.18079885001326593
market_AvgC_proportional,3,2024-2025,380,0.55526315789473679,0.48336591723688499,0.41706879138143876,0.96673341348170716,0.57518775117948473,0.19610197255961509
market_AvgC_proportional,4,2025-2026,380,0.49473684210526314,0.44054580896686163,0.37135640658065389,1.0117668726695337,0.6077370146246498,0.20449146861486855
market_AvgC_shin,1,2022-2023,380,0.55526315789473679,0.46451602180561097,0.40452639873916474,0.96188067196214166,0.57107062369720463,0.19741818415673129
market_AvgC_shin,2,2023-2024,380,0.59999999999999998,0.50273325590398754,0.44353667392883084,0.89910918663671113,0.52582499155075546,0.18039210166937111
market_AvgC_shin,3,2024-2025,380,0.55526315789473679,0.48336591723688499,0.41706879138143876,0.96682894224796678,0.57540471297172635,0.19615790167704988
market_AvgC_shin,4,2025-2026,380,0.49473684210526314,0.44054580896686163,0.37135640658065389,1.0122167859325715,0.60839690675996727,0.20470167523279814
market_PSC_proportional,1,2022-2023,380,0.54736842105263162,0.45908123919691529,0.39930986887508624,0.96215151161158585,0.57118313017524769,0.19750256082057394
market_PSC_proportional,2,2023-2024,380,0.59736842105263155,0.50002322880371664,0.44126727321753728,0.8995495263878559,0.52584783807497215,0.18045595360555361
market_PSC_proportional,3,2024-2025,380,0.55263157894736847,0.48121537960247646,0.41539794760533177,0.96641210276231237,0.57507930216715275,0.19608492697317967
market_PSC_proportional,4,2025-2026,210,0.51428571428571423,0.45467836257309946,0.38547427518015759,0.98746411794461653,0.59113059531771195,0.1993539354133019
