match_id,home_sot_residual_last5,away_sot_residual_last5,rel_sot_residual_diff,home_sot_residual_available,away_sot_residual_available,rel_sot_residual_available,home_match_number,away_match_number
1210,0.20000000000000001,1.2000000000000002,-1.0000000000000002,True,True,True,8,8
1211,0.99999999999999989,-0.20000000000000007,1.2,True,True,True,8,8
1212,-1.6000000000000001,-1,-0.60000000000000009,True,True,True,8,8
1213,1.2,0,1.2,True,True,True,8,8
1214,-2,0.40000000000000002,-2.3999999999999999,True,True,True,8,8
1215,-1.5999999999999999,-3.2000000000000002,1.6000000000000003,True,True,True,8,8
1216,2.6000000000000001,1.3999999999999999,1.2000000000000002,True,True,True,8,8
1217,0.80000000000000027,-1.3999999999999999,2.2000000000000002,True,True,True,8,8
1218,-1.2,3.4000000000000004,-4.6000000000000005,True,True,True,8,8
1219,0,0,0,True,True,True,8,8
1220,-3.7999999999999998,-0.80000000000000004,-3,True,True,True,9,9
1221,-0.59999999999999998,0.80000000000000004,-1.3999999999999999,True,True,True,9,9
1222,-1.3999999999999999,-2.3999999999999999,1,True,True,True,9,9
1223,0.59999999999999998,-1.6000000000000001,2.2000000000000002,True,True,True,9,9
1224,-0.60000000000000009,1.2,-1.8,True,True,True,9,9
1225,3.3999999999999999,-1,4.4000000000000004,True,True,True,9,9
1226,0.40000000000000002,1.7999999999999998,-1.3999999999999999,True,True,True,9,9
1227,-2.6000000000000001,-0.79999999999999993,-1.8000000000000003,True,True,True,9,9
1228,1.2,1.8,-0.60000000000000009,True,True,True,9,9
1229,2.2000000000000002,2.1999999999999997,4.4408920985006262e-16,True,True,True,9,9
1230,-1.2,4.2000000000000002,-5.4000000000000004,True,True,True,10,10
1231,-2,-4.1999999999999993,2.1999999999999993,True,True,True,10,10
1232,1.4000000000000001,-0.59999999999999998,2,True,True,True,10,10
1233,-1.4000000000000001,0.59999999999999998,-2,True,True,True,10,10
1234,0.19999999999999996,2,-1.8,True,True,True,10,10
