rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B2,2,0.029999999999999999,lam=0.03,False,C_context,20,0.88442744710859145,0.19776398929014102
B2,2,0.10000000000000001,lam=0.1,False,phase1_backbone,88,3.4576362337926114,0.36858526097084982
B2,2,0.10000000000000001,lam=0.1,False,C_context,20,0.83918356330857413,0.187647149315847
B2,2,0.29999999999999999,lam=0.3,False,phase1_backbone,88,2.9031256594131647,0.30947423512862032
B2,2,0.29999999999999999,lam=0.3,False,C_context,20,0.7605574761009225,0.17006582173573342
B2,2,1,lam=1,False,phase1_backbone,88,2.2236438636576756,0.23704123232578689
B2,2,1,lam=1,False,C_context,20,0.63810013370748364,0.14268352754216382
B2,2,3,lam=3,False,phase1_backbone,88,1.6230009021841905,0.1730124774957357
B2,2,3,lam=3,False,C_context,20,0.51900609120532781,0.11605329006715687
B2,2,10,lam=10,False,phase1_backbone,88,1.0444176329771546,0.11133529376258018
B2,2,10,lam=10,False,C_context,20,0.42227303034687824,0.094423120092045135
B2,2,30,lam=30,False,phase1_backbone,88,0.66532675317839285,0.070924070194092886
B2,2,30,lam=30,False,C_context,20,0.34993968535171788,0.078248892447132859
B2,2,100,lam=100,True,phase1_backbone,88,0.40540075551996863,0.043215865743981501
B2,2,100,lam=100,True,C_context,20,0.24790650586011032,0.05543357991676566
B2,3,0.01,lam=0.01,False,phase1_backbone,88,9.3045769786226007,0.99187123861412985
B2,3,0.01,lam=0.01,False,C_context,20,0.44674448972461533,0.099895104759769621
B2,3,0.029999999999999999,lam=0.03,False,phase1_backbone,88,7.8330799136935667,0.83500912443510578
B2,3,0.029999999999999999,lam=0.03,False,C_context,20,0.43698972686000082,0.097713873472802748
B2,3,0.10000000000000001,lam=0.1,False,phase1_backbone,88,6.1358828935110603,0.65408731418534682
B2,3,0.10000000000000001,lam=0.1,False,C_context,20,0.41416112464933513,0.0926092428353677
B2,3,0.29999999999999999,lam=0.3,False,phase1_backbone,88,4.4546780374745696,0.47487027436159152
B2,3,0.29999999999999999,lam=0.3,False,C_context,20,0.38779422205696029,0.086713424180101153
B2,3,1,lam=1,False,phase1_backbone,88,2.7316593146314601,0.29119586135945152
B2,3,1,lam=1,False,C_context,20,0.37120263673086967,0.083003432915738487
B2,3,3,lam=3,False,phase1_backbone,88,1.6448423999946229,0.17534078898546754
B2,3,3,lam=3,False,C_context,20,0.36089329622105565,0.080698194297424836
B2,3,10,lam=10,False,phase1_backbone,88,0.99185758505503019,0.10573237382823912
B2,3,10,lam=10,False,C_context,20,0.34038533726759695,0.076112475267453933
B2,3,30,lam=30,False,phase1_backbone,88,0.6476061956566026,0.069035052415159642
B2,3,30,lam=30,False,C_context,20,0.30279337741375539,0.067706657503390652
B2,3,100,lam=100,True,phase1_backbone,88,0.41289271960897111,0.044014511799324418
B2,3,100,lam=100,True,C_context,20,0.22804740587746444,0.050992950163449555
B2,4,0.01,lam=0.01,False,phase1_backbone,88,8.6691862641136357,0.92413836086462264
B2,4,0.01,lam=0.01,False,C_context,20,0.87846200179035938,0.19643007516537855
B2,4,0.029999999999999999,lam=0.03,False,phase1_backbone,88,7.2101705387803285,0.76860676195704181
B2,4,0.029999999999999999,lam=0.03,False,C_context,20,0.86081497155470899,0.19248407924458771
B2,4,0.10000000000000001,lam=0.1,False,phase1_backbone,88,5.6334719896813246,0.6005301318846622
B2,4,0.10000000000000001,lam=0.1,False,C_context,20,0.80780835449508892,0.18063143934432666
B2,4,0.29999999999999999,lam=0.3,False,phase1_backbone,88,4.166927564008823,0.44419597082430989
B2,4,0.29999999999999999,lam=0.3,False,C_context,20,0.70140118048270705,0.15683807190579316
B2,4,1,lam=1,False,phase1_backbone,88,2.6673013650223614,0.28433528087953247
B2,4,1,lam=1,False,C_context,20,0.52217927822760013,0.11676283625586897
