rung,fold,column,block,beta_home,beta_draw,beta_away,beta_l2,train_centre,train_scale,selected_lambda
D3,3,day_of_week=Mon,C_context,0.00077189313497820944,0.0060336919376555651,-0.006805585072633776,0.0091278280872950247,0,1,300
D3,3,day_of_week=Tue,C_context,0.0046909021282660873,0.0031566383464245616,-0.0078475404746906462,0.0096722706707885915,0,1,300
D3,3,day_of_week=Wed,C_context,-0.0047057695136204329,-0.002799669308208374,0.0075054388218288061,0.00929053426121762,0,1,300
D3,3,day_of_week=Thu,C_context,0.010663438090592786,-0.0085960040724627155,-0.0020674340181300712,0.013851876455737763,0,1,300
D3,3,day_of_week=Fri,C_context,-0.0056996793510660435,0.00298468221373412,0.0027149971373319234,0.006983257268472212,0,1,300
D3,3,day_of_week=Sat,C_context,-0.021754683029315002,0.0097265090617588389,0.012028173967556155,0.026693598131916171,0,1,300
D3,3,day_of_week=Sun,C_context,0.016033898540164383,-0.010505848178902016,-0.0055280503612623799,0.019950390701715032,0,1,300
D3,4,home_rest_days,C_context,-0.013530964015114957,-0.018292275371203006,0.031823239386317946,0.039120491950806982,7.6831081081081027,4.8365642507650257,300
D3,4,home_matches_last14,C_context,0.014046012174288936,-0.022622404595476181,0.0085763924211872435,0.02797531330734104,1.5736842105263158,0.81100464354770985,300
D3,4,home_is_season_opener,C_context,0.0036779166689633806,-0.010387925824256261,0.006710009155292883,0.012901949341793399,0,1,300
D3,4,away_rest_days,C_context,-0.0061371281863279161,-0.018874262757126708,0.025011390943454618,0.031929168700841629,7.6831081081081027,4.8773359924611768,300
D3,4,away_matches_last14,C_context,0.0089529283942362051,-0.039263584582605697,0.030310656188369482,0.050403570108448606,1.5657894736842106,0.79943279754080787,300
D3,4,away_is_season_opener,C_context,0.0036779166689633806,-0.010387925824256261,0.006710009155292883,0.012901949341793399,0,1,300
D3,4,rel_rest_days_diff,C_context,-0.014551467903975766,0.0014687931987725474,0.013082674705203192,0.019622918974081322,0,2.4403407872456535,300
D3,4,rel_matches_last14_diff,C_context,0.0071983148599066753,0.022171903351834388,-0.029370218211741069,0.037496916578176463,0.0078947368421052634,0.58820940549189937,300
D3,4,days_since_season_start,C_context,0.0046572074486117962,-0.0049027301316054428,0.000245522682993614,0.0067665815114148669,149.42105263157896,86.025067209306314,300
D3,4,rel_context_available,C_context,-0.0036779166689634114,0.010387925824256277,-0.0067100091552928934,0.012901949341793426,0,1,300
D3,4,kickoff_hour_bucket=early,C_context,0.017496195616049419,-0.024061680816523715,0.0065654852004742928,0.030466160582997313,0,1,300
D3,4,kickoff_hour_bucket=afternoon,C_context,-0.024378839420989933,0.019172174701489447,0.0052066647195004485,0.031448520661553153,0,1,300
D3,4,kickoff_hour_bucket=evening,C_context,0.0068826438049404701,0.0048895061150342582,-0.011772149919974721,0.014486599653921677,0,1,300
D3,4,day_of_week=Mon,C_context,0.0054525664044493272,0.0048171365152057033,-0.010269702919655036,0.01258578891683111,0,1,300
D3,4,day_of_week=Tue,C_context,0.015695750863666515,0.0005787952725804504,-0.016274546136246962,0.022617525308545154,0,1,300
D3,4,day_of_week=Wed,C_context,-0.0053408401752510042,-0.00016640923899041048,0.005507249414241429,0.0076734647925861431,0,1,300
D3,4,day_of_week=Thu,C_context,0.015734449779592569,-0.013319068455688693,-0.0024153813239038719,0.020755831983654757,0,1,300
D3,4,day_of_week=Fri,C_context,-0.0034640546465770257,0.0031142406429619991,0.00034981400361502651,0.004671246002286052,0,1,300
D3,4,day_of_week=Sat,C_context,-0.023001608073635146,0.0029664037578385539,0.020035204315796622,0.030647723197708372,0,1,300
D3,4,day_of_week=Sun,C_context,-0.0050762641522452282,0.0020089015060923976,0.0030673626461528206,0.0062620169759881605,0,1,300
D4,1,home_rest_days,C_context,-0.00044801283600958965,0.00078547113352925215,-0.00033745829751965562,0.00096517278525761808,7.5324324324324321,4.0891740289422573,1000
D4,1,home_matches_last14,C_context,-0.0061905597094867081,0.0014549485324447638,0.004735611177041933,0.0079288030602927585,1.5473684210526315,0.84937650262607189,1000
D4,1,home_is_season_opener,C_context,0.0026199200362229864,-0.0025692866554019073,-5.0633380821080373e-05,0.0036698472247605001,0,1,1000
D4,1,away_rest_days,C_context,-0.0014189845223611917,0.0033568869086001551,-0.0019379023862389658,0.004127671553118344,7.6513513513513507,4.2177645377131148,1000
D4,1,away_matches_last14,C_context,-0.0080205225799745514,-0.00588170673137211,0.013902229311346654,0.017093719207797221,1.5394736842105263,0.86207811151896963,1000
D4,1,away_is_season_opener,C_context,0.0026199200362229864,-0.0025692866554019073,-5.0633380821080373e-05,0.0036698472247605001,0,1,1000
D4,1,rel_rest_days_diff,C_context,0.0011785097426039802,-0.0031064041684455133,0.0019278944258415273,0.0038412769996889044,-0.11891891891891893,3.5238912282213986,1000
D4,1,rel_matches_last14_diff,C_context,0.0022122753832190434,0.0084236451321758263,-0.01063592051539488,0.013746809262291527,0.0078947368421052634,0.74864142880264495,1000
D4,1,days_since_season_start,C_context,0.0037935474286477878,-0.0056415867754281328,0.0018480393467803519,0.0070451226295455069,148.78157894736842,84.165045736473743,1000
D4,1,rel_context_available,C_context,-0.0026199200362229855,0.0025692866554019125,5.0633380821080855e-05,0.0036698472247605036,0,1,1000
D4,1,home_prior_attack,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_finishing,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_defence,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_keeping,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_control,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_discipline,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_rotation,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_venue_split,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_attack,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_finishing,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_defence,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_keeping,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_control,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_discipline,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_rotation,X_prior_composite,0,0,0,0,0,1,1000
D4,1,away_prior_venue_split,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_attack_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_finishing_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_defence_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_keeping_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_control_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_discipline_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_rotation_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,rel_prior_venue_split_diff,X_prior_composite,0,0,0,0,0,1,1000
D4,1,home_prior_fbref_available,X_availability,0,0,0,0,0,1,1000
D4,1,away_prior_fbref_available,X_availability,0,0,0,0,0,1,1000
D4,1,rel_prior_fbref_available,X_availability,0,0,0,0,0,1,1000
D4,1,kickoff_hour_bucket=early,C_context,0.00024359615642187662,-0.0040556496554953114,0.0038120534990734346,0.0055713001261232346,0,1,1000
D4,1,kickoff_hour_bucket=afternoon,C_context,0.0014394482411121973,-0.0017409423617512033,0.00030149412063900277,0.0022789888658264089,0,1,1000
D4,1,kickoff_hour_bucket=evening,C_context,-0.0016830443975340702,0.0057965920172465095,-0.0041135476197124397,0.0073044090437295924,0,1,1000
D4,1,day_of_week=Mon,C_context,0.0017746478240190352,0.0017899424175281402,-0.0035645902415471753,0.0043657270124797462,0,1,1000
D4,1,day_of_week=Tue,C_context,0.0017430660848608351,-0.00014022259596649774,-0.0016028434888943374,0.0023721401734515257,0,1,1000
D4,1,day_of_week=Wed,C_context,-0.0045117308105998089,0.0017761411176054945,0.0027355896929943148,0.0055672114335079135,0,1,1000
D4,1,day_of_week=Thu,C_context,0.0023746837008598262,-0.00021477623584749414,-0.0021599074650123311,0.0032172118003063045,0,1,1000
D4,1,day_of_week=Fri,C_context,0.0013870754933081233,-0.00044299479370159316,-0.00094408069960652996,0.0017353706171167719,0,1,1000
D4,1,day_of_week=Sat,C_context,-0.0095735146887617282,0.0010261579240066433,0.0085473567647550847,0.012874878300199295,0,1,1000
D4,1,day_of_week=Sun,C_context,0.0068057723963137187,-0.0037942478336246968,-0.0030115245626890236,0.0083536898868147354,0,1,1000
D4,2,home_rest_days,C_context,-0.0052414103848402501,-0.0071981253478467519,0.012439535732687008,0.01529795543824148,7.7459459459459472,5.7484823898685242,1000
D4,2,home_matches_last14,C_context,0.0060828579165735971,-0.0049244065350716416,-0.0011584513815019559,0.0079115706253045717,1.5973684210526315,0.84354728507693555,1000
D4,2,home_is_season_opener,C_context,0.0020292404261058631,-0.0032585176218810083,0.0012292771957751454,0.0040307413986888528,0,1,1000
D4,2,away_rest_days,C_context,-0.0036315326730909335,-0.0051495329254933305,0.00878106559858427,0.010807998517445634,7.813513513513513,5.7797587894561717,1000
D4,2,away_matches_last14,C_context,0.0018216954012210819,-0.013440904200135981,0.011619208798914897,0.017860080989873604,1.5868421052631578,0.84000972821170494,1000
D4,2,away_is_season_opener,C_context,0.0020292404261058631,-0.0032585176218810083,0.0012292771957751454,0.0040307413986888528,0,1,1000
D4,2,rel_rest_days_diff,C_context,-0.0031576716536527018,-0.0040124737913629742,0.0071701454450156668,0.008802375923654673,-0.06756756756756753,2.8947824256077475,1000
D4,2,rel_matches_last14_diff,C_context,0.0054163539956132035,0.010734408194388683,-0.016150762190001881,0.020134833726841363,0.010526315789473684,0.66482663893213434,1000
D4,2,days_since_season_start,C_context,0.0020004687629765292,-0.0037783041437667777,0.0017778353807902426,0.0046301356476500383,152.70526315789473,88.952115880779246,1000
D4,2,rel_context_available,C_context,-0.0020292404261058636,0.0032585176218810083,-0.0012292771957751502,0.0040307413986888545,0,1,1000
D4,2,home_prior_attack,X_prior_composite,0.0055042442639618413,-0.00019120005152820549,-0.005313044212433623,0.0076525617397271376,0.2007653472789829,0.59902823196960009,1000
D4,2,home_prior_finishing,X_prior_composite,0.0048554293487133287,-0.010135409068458785,0.005279979719745454,0.012416919786576162,0.2123890316089633,0.54866375818425939,1000
D4,2,home_prior_defence,X_prior_composite,0.0087141530839298341,-0.00065895192758991597,-0.0080552011563399129,0.011885156594767196,0.1868261243404418,0.58951951900854915,1000
D4,2,home_prior_keeping,X_prior_composite,0.0060349073273148731,-0.0023001574971956238,-0.0037347498301192493,0.0074605085118080085,0.16484185044499278,0.54060657695855974,1000
D4,2,home_prior_control,X_prior_composite,0.0063049097371941643,-0.0049076607096963732,-0.0013972490274977998,0.0081110619083142772,0.11429442090647918,0.49268771574502024,1000
D4,2,home_prior_discipline,X_prior_composite,0.0021271986148477073,-0.00063636824241209203,-0.0014908303724356228,0.0026744183828147005,0.040570847998894738,0.58057946581967157,1000
D4,2,home_prior_rotation,X_prior_composite,0.002737028101636133,0.010590398018119559,-0.013327426119755695,0.017241465714633513,-0.024220902846607988,0.36026817845577774,1000
D4,2,home_prior_venue_split,X_prior_composite,0.00068414559364209278,-0.0078103326087913998,0.0071261870151493097,0.010594899340160472,0.090941351069257076,0.65790810114497611,1000
D4,2,away_prior_attack,X_prior_composite,-0.0010444547314649188,-0.006470859211548715,0.0075153139430136255,0.0099721035034650192,0.20076534727898282,0.59902823196959987,1000
D4,2,away_prior_finishing,X_prior_composite,0.0069086869921021962,-0.0079640085915225513,0.0010553215994203609,0.010595711041685227,0.21238903160896316,0.54866375818425939,1000
D4,2,away_prior_defence,X_prior_composite,-0.0092528298256642182,0.0027632134805213966,0.0064896163451428233,0.0116346606666796,0.18682612434044188,0.58951951900854926,1000
D4,2,away_prior_keeping,X_prior_composite,0.0050153013264007716,0.0010399433711449858,-0.0060552446975457525,0.0079309972864036269,0.16484185044499264,0.54060657695855985,1000
D4,2,away_prior_control,X_prior_composite,0.0046888435305666686,-0.0064643882190256775,0.0017755446884590014,0.0081808390548359922,0.11429442090647922,0.49268771574502035,1000
D4,2,away_prior_discipline,X_prior_composite,-0.0092117758975866788,0.010221207991779805,-0.0010094320941931286,0.013796697472633417,0.040570847998894773,0.58057946581967146,1000
D4,2,away_prior_rotation,X_prior_composite,-0.0044539392425600888,0.0071437848219141221,-0.0026898455793540384,0.0088377885015991295,-0.024220902846607998,0.36026817845577774,1000
D4,2,away_prior_venue_split,X_prior_composite,-0.011784931330730721,0.0064502665861503041,0.0053346647445804167,0.014455075006360738,0.090941351069257229,0.657908101144976,1000
D4,2,rel_prior_attack_diff,X_prior_composite,0.0023283494295329742,0.0035949662500273853,-0.0059233156795603622,0.0073096280373605958,-1.6361181415528621e-17,0.8013273190113761,1000
D4,2,rel_prior_finishing_diff,X_prior_composite,-0.0051478234297392877,-0.0024874099024980076,0.0076352333322372914,0.0095385576543062997,-6.7197709385206844e-18,0.73395415260964092,1000
D4,2,rel_prior_defence_diff,X_prior_composite,0.0099921166322292504,-0.0030369361852960078,-0.0069551804469332396,0.012547506175931341,8.7649186154617617e-18,0.78860739855074169,1000
D4,2,rel_prior_keeping_diff,X_prior_composite,-0.0011251716311776307,-0.00091180850582993106,0.0020369801370075679,0.0024993387184361611,1.1686558153949016e-18,0.72317596372670589,1000
D4,2,rel_prior_control_diff,X_prior_composite,-0.0023036241595199348,0.0016852535763591796,0.00061837058316075236,0.0029204701784257105,-1.1686558153949016e-17,0.659074322874038,1000
D4,2,rel_prior_discipline_diff,X_prior_composite,0.0079542842656365603,-0.0075977332020978131,-0.00035655106353875421,0.011005603874832287,-8.6188366385374001e-18,0.7766481811527447,1000
D4,2,rel_prior_rotation_diff,X_prior_composite,0.0078185871148029017,0.0020072456039213885,-0.0098258327187242863,0.012716380302687413,7.1580168692937731e-18,0.48193510449058602,1000
D4,2,rel_prior_venue_split_diff,X_prior_composite,0.0067418341303452983,-0.010375314101318801,0.0036334799709735128,0.012895799581320236,-5.9893610538988709e-18,0.88009163293179216,1000
D4,2,home_prior_fbref_available,X_availability,0.0072955259340029494,-0.0017575317862068192,-0.0055379941477961339,0.009326467488511455,0,1,1000
D4,2,away_prior_fbref_available,X_availability,0.0017715498634001308,0.0027223343660659986,-0.004493884229466125,0.0055447713015976891,0,1,1000
D4,2,rel_prior_fbref_available,X_availability,0.0017896552069387901,0.0022733918153775646,-0.0040630470223163495,0.0049879381723817087,0,1,1000
D4,2,kickoff_hour_bucket=early,C_context,0.0013260954644370557,-0.0040320617796617058,0.0027059663152246491,0.0050337168250647272,0,1,1000
D4,2,kickoff_hour_bucket=afternoon,C_context,0.0050750632523658802,-0.0039927348883338895,-0.0010823283640319973,0.0065474906331831713,0,1,1000
D4,2,kickoff_hour_bucket=evening,C_context,-0.0064011587168029431,0.0080247966679955953,-0.0016236379511926585,0.010392708726647187,0,1,1000
D4,2,day_of_week=Mon,C_context,4.4556890020374937e-05,0.0022686488502918537,-0.0023132057403122287,0.0032403200026220069,0,1,1000
D4,2,day_of_week=Tue,C_context,0.0022808143557875343,0.0010047506919875716,-0.0032855650477751066,0.0041239029767657538,0,1,1000
D4,2,day_of_week=Wed,C_context,-0.0062553992156666087,0.0029618488615864315,0.0032935503540801781,0.0076648575956181292,0,1,1000
D4,2,day_of_week=Thu,C_context,0.0035109975968359475,-0.0020006145895788826,-0.0015103830072570646,0.004314025925934448,0,1,1000
D4,2,day_of_week=Fri,C_context,-0.00012574284986250429,-1.5383558096516272e-05,0.00014112640795902102,0.00018964329984122618,0,1,1000
D4,2,day_of_week=Sat,C_context,-0.0064802579010720483,0.0026881897127091965,0.003792068188362844,0.0079749537641992455,0,1,1000
D4,2,day_of_week=Sun,C_context,0.0070250311239573012,-0.0069074399688996537,-0.0001175911550576512,0.0098527974147583595,0,1,1000
D4,3,home_rest_days,C_context,-0.0087430683130964703,-0.0032216555585725779,0.011964723871669036,0.015164924180187649,7.6963963963963948,5.2140738682094971,1000
D4,3,home_matches_last14,C_context,0.010615203409626867,-0.012522702553930207,0.0019074991443033392,0.01652692275251149,1.5842105263157895,0.83399050726311441,1000
D4,3,home_is_season_opener,C_context,0.0014486865811762751,-0.0025749887814448132,0.0011263022002685394,0.0031619324283381832,0,1,1000
D4,3,away_rest_days,C_context,-0.0054459959408199293,-0.0015752114409380708,0.0070212073817579853,0.0090242737086561244,7.7342342342342336,5.2517832476132869,1000
D4,3,away_matches_last14,C_context,0.0048298528289720611,-0.022555469169830807,0.017725616340858747,0.029090791369160724,1.5798245614035087,0.82170979473604733,1000
