rung,fold,lambda,lambda_label,inner_mean_log_loss,selected
E1c,4,0.001,lam=0.001,1.1694912120392078,False
E1c,4,0.0030000000000000001,lam=0.003,1.1655449627584189,False
E1c,4,0.01,lam=0.01,1.1583970751550083,False
E1c,4,0.029999999999999999,lam=0.03,1.1492008015388746,False
E1c,4,0.10000000000000001,lam=0.1,1.1354483495863388,False
E1c,4,0.29999999999999999,lam=0.3,1.1157393877108372,False
E1c,4,1,lam=1,1.0867588368240793,False
E1c,4,3,lam=3,1.0602083139084,False
E1c,4,10,lam=10,1.0342374872966269,False
E1c,4,30,lam=30,1.0128239644062518,False
E1c,4,100,lam=100,0.99452289673369509,False
E1c,4,300,lam=300,0.98571581168596234,True
E1c,4,1000,lam=1000,0.98612344932829177,False
E1c,4,3000,lam=3000,0.99713144921396302,False
E1c,4,10000,lam=10000,1.0201713560210606,False
