comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,structural_note,fold
D4 - D2rescaled,D4,D2_rescaled,fold 1 (2022-2023),380,0.0010600669733787755,-0.00059891519238681405,0.0027445710405493203,0.00047550006976300192,-5.9324434174313943e-05,0.0010263549346614363,True,False,NOT SIGNIFICANT,D4 f1 == D3 f1 by construction: all 27 Block X columns are constant over 2021-22 training rows - see X1a-X1d,1
D4 - D2rescaled,D4,D2_rescaled,fold 2 (2023-2024),380,-0.0011798639663125204,-0.0062107983951340678,0.0038923760561943672,-0.00055430796111669445,-0.0019086494970104568,0.00079697283417345911,True,False,NOT SIGNIFICANT,,2
D4 - D2rescaled,D4,D2_rescaled,fold 3 (2024-2025),380,0.00021821708446650347,-0.0084253038444250389,0.0085998226668050036,-0.00024557274559292865,-0.0025723830902621217,0.0019649932355302628,False,False,INCONCLUSIVE (sign disagreement),,3
D4 - D2rescaled,D4,D2_rescaled,fold 4 (2025-2026),380,-0.0022323504371578686,-0.0095857497047353562,0.0049756285853314623,-0.00075251964245334204,-0.0027479382183830739,0.0012272157429612858,True,False,NOT SIGNIFICANT,,4
D3 - D0,D3,D0,fold 1 (2022-2023),380,-0.060946583641210396,-0.083580421493287538,-0.037878291177733288,-0.021967965885392546,-0.029946610382675657,-0.013856131835439029,True,True,SIGNIFICANT,,1
D3 - D0,D3,D0,fold 2 (2023-2024),380,-0.094699027009437789,-0.12701996999211632,-0.061735224373971248,-0.034988791067723672,-0.046186548069703924,-0.023641587186840396,True,True,SIGNIFICANT,,2
D3 - D0,D3,D0,fold 3 (2024-2025),380,-0.073356595165073715,-0.110200074028344,-0.035449192728356518,-0.02769635599112644,-0.039859826363779487,-0.015093731393041127,True,True,SIGNIFICANT,,3
D3 - D0,D3,D0,fold 4 (2025-2026),380,-0.041549384761245318,-0.075800114689570638,-0.0074974721566145788,-0.016289648339944587,-0.027814569329571343,-0.0049157482095488307,True,True,SIGNIFICANT,,4
D3 - Elo v1,D3,elo_v1,fold 1 (2022-2023),380,0.0086485756047707703,-0.0025624678653142175,0.020147833845909867,0.0033809855772221624,-0.00026917214873937046,0.0070670772315354754,True,False,NOT SIGNIFICANT,,1
D3 - Elo v1,D3,elo_v1,fold 2 (2023-2024),380,-0.0087955515447674555,-0.023128484821254607,0.005984062370420924,-0.0035977203639438716,-0.0081352502892150756,0.00096862180275973241,True,False,NOT SIGNIFICANT,,2
D3 - Elo v1,D3,elo_v1,fold 3 (2024-2025),380,-0.00049900904305064662,-0.019950875432314202,0.019572269459900513,-0.0012518946951083566,-0.0069767281714383199,0.0046097641267650322,True,False,NOT SIGNIFICANT,,3
D3 - Elo v1,D3,elo_v1,fold 4 (2025-2026),380,0.0079192067227912485,-0.011345866105741087,0.027620350435429389,0.0012490329597309149,-0.0046132870413361426,0.0071227252940668723,True,False,NOT SIGNIFICANT,,4
D3 - Poisson,D3,poisson_walkforward,fold 1 (2022-2023),380,-0.0014982724721790061,-0.033599337226096371,0.030479522644379989,0.0004566102210089874,-0.0088764616075129813,0.0096294186169736031,False,False,INCONCLUSIVE (sign disagreement),,1
D3 - Poisson,D3,poisson_walkforward,fold 2 (2023-2024),380,0.016047727656917674,-0.0079449610318758617,0.039249599172411422,0.0057251949810031627,-0.00084555051319123596,0.012226662669887265,True,False,NOT SIGNIFICANT,,2
D3 - Poisson,D3,poisson_walkforward,fold 3 (2024-2025),380,0.031853649367411953,0.010014906248816267,0.054189056796238054,0.0075158541861828155,0.00087557353300963961,0.014243694061431637,True,True,SIGNIFICANT,,3
D3 - Poisson,D3,poisson_walkforward,fold 4 (2025-2026),380,-0.0030662554317296988,-0.025701979843564381,0.01812165785646468,-0.0014231823985753915,-0.0073766188442506587,0.0043622727065657915,True,False,NOT SIGNIFICANT,,4
D3 - DixonColes,D3,dc_walkforward,fold 1 (2022-2023),380,-0.0042795816877263838,-0.037119662852462196,0.028007441919323639,0.00031020472966822527,-0.0089493058216542961,0.009414393371989389,False,False,INCONCLUSIVE (sign disagreement),,1
D3 - DixonColes,D3,dc_walkforward,fold 2 (2023-2024),380,0.017613379138122418,-0.0072975235202369622,0.041365194007657771,0.0058689683374454236,-0.00083425668674832131,0.012439838653362196,True,False,NOT SIGNIFICANT,,2
D3 - DixonColes,D3,dc_walkforward,fold 3 (2024-2025),380,0.032620589548465563,0.0097511317537309038,0.055761067290322097,0.0076200919756180202,0.00095323190136057583,0.014340511397228188,True,True,SIGNIFICANT,,3
D3 - DixonColes,D3,dc_walkforward,fold 4 (2025-2026),380,-0.0024099881019688362,-0.026447820533401795,0.020604888792154902,-0.0013326264561940673,-0.0073641339647365998,0.004494044664863037,True,False,NOT SIGNIFICANT,,4
D4 - D0,D4,D0,fold 1 (2022-2023),380,-0.060946583641210396,-0.083580421493287524,-0.037878291177733281,-0.021967965885392543,-0.029946610382675657,-0.013856131835439033,True,True,SIGNIFICANT,,1
D4 - D0,D4,D0,fold 2 (2023-2024),380,-0.094871087805327353,-0.12806999109939859,-0.060567752480329327,-0.035254377046869054,-0.04660397179015173,-0.023602795831982912,True,True,SIGNIFICANT,,2
D4 - D0,D4,D0,fold 3 (2024-2025),380,-0.075216755915623698,-0.10780714005129413,-0.041689040417351476,-0.028004396829797055,-0.039250771721492717,-0.016423635975113881,True,True,SIGNIFICANT,,3
D4 - D0,D4,D0,fold 4 (2025-2026),380,-0.045517830667135724,-0.076847598885607493,-0.014601859741218153,-0.01742473887572582,-0.028207449803643654,-0.0069108599189780344,True,True,SIGNIFICANT,,4
D4 - Elo v1,D4,elo_v1,fold 1 (2022-2023),380,0.0086485756047707738,-0.002562467865314218,0.020147833845909881,0.0033809855772221607,-0.00026917214873937371,0.007067077231535472,True,False,NOT SIGNIFICANT,,1
D4 - Elo v1,D4,elo_v1,fold 2 (2023-2024),380,-0.0089676123406570302,-0.024703466984700516,0.0072370814679964587,-0.0038633063430892562,-0.0085687291154663125,0.00092364741239544515,True,False,NOT SIGNIFICANT,,2
D4 - Elo v1,D4,elo_v1,fold 3 (2024-2025),380,-0.0023591697936006274,-0.017770181753675077,0.013432188243301125,-0.0015599355337789728,-0.0063249357489040692,0.0032941976394834935,True,False,NOT SIGNIFICANT,,3
D4 - Elo v1,D4,elo_v1,fold 4 (2025-2026),380,0.0039507608169008501,-0.013071152318584554,0.021639995506000962,0.00011394242394967967,-0.0051724186089850428,0.0055630850282204934,True,False,NOT SIGNIFICANT,,4
D4 - Poisson,D4,poisson_walkforward,fold 1 (2022-2023),380,-0.0014982724721789998,-0.033599337226096364,0.030479522644379999,0.00045661022100898507,-0.0088764616075129778,0.0096294186169735996,False,False,INCONCLUSIVE (sign disagreement),,1
D4 - Poisson,D4,poisson_walkforward,fold 2 (2023-2024),380,0.015875666861028103,-0.0085938729020996543,0.039179628787331014,0.0054596090018577794,-0.0011322858000287854,0.011994710245581212,True,False,NOT SIGNIFICANT,,2
D4 - Poisson,D4,poisson_walkforward,fold 3 (2024-2025),380,0.029993488616861973,0.0092302672835478574,0.050741936015016247,0.0072078133475121991,0.00081250158904963338,0.013683972914178485,True,True,SIGNIFICANT,,3
D4 - Poisson,D4,poisson_walkforward,fold 4 (2025-2026),380,-0.0070347013376200994,-0.029933922263394679,0.014635581296969446,-0.0025582729343566258,-0.0086725742095657803,0.0034135157063606234,True,False,NOT SIGNIFICANT,,4
D4 - DixonColes,D4,dc_walkforward,fold 1 (2022-2023),380,-0.0042795816877263752,-0.037119662852462196,0.028007441919323649,0.00031020472966822413,-0.0089493058216542961,0.009414393371989389,False,False,INCONCLUSIVE (sign disagreement),,1
D4 - DixonColes,D4,dc_walkforward,fold 2 (2023-2024),380,0.01744131834223284,-0.0081216554210950809,0.041619385211048986,0.0056033823583000386,-0.0010481599814888562,0.012244225152937592,True,False,NOT SIGNIFICANT,,2
D4 - DixonColes,D4,dc_walkforward,fold 3 (2024-2025),380,0.030760428797915591,0.0089048638970824941,0.05252871389158674,0.0073120511369474048,0.0009369644802630189,0.013762558717118192,True,True,SIGNIFICANT,,3
D4 - DixonColes,D4,dc_walkforward,fold 4 (2025-2026),380,-0.006378434007859232,-0.030562589167427153,0.016647173845878799,-0.0024677169919753023,-0.008627987091588931,0.0034565091517848472,True,False,NOT SIGNIFICANT,,4
