model,scope,class,bin,bin_lo,bin_hi,n,mean_predicted,observed_frequency,thin
D2_rescaled,pooled,pooled,9,0.90000000000000002,1,0,,,True
D3,pooled,H,0,0,0.10000000000000001,5,0.078574734305478983,0.20000000000000001,True
D3,pooled,H,1,0.10000000000000001,0.20000000000000001,61,0.16515213820110342,0.098360655737704916,False
D3,pooled,H,2,0.20000000000000001,0.29999999999999999,187,0.25842806951353259,0.18716577540106952,False
D3,pooled,H,3,0.29999999999999999,0.40000000000000002,315,0.35225616633775475,0.34920634920634919,False
D3,pooled,H,4,0.40000000000000002,0.5,395,0.44987802924165488,0.46075949367088609,False
D3,pooled,H,5,0.5,0.59999999999999998,268,0.54479281486313413,0.59328358208955223,False
D3,pooled,H,6,0.59999999999999998,0.69999999999999996,183,0.64540340184956324,0.58469945355191255,False
D3,pooled,H,7,0.69999999999999996,0.80000000000000004,89,0.74408996499879443,0.6741573033707865,False
D3,pooled,H,8,0.80000000000000004,0.90000000000000002,17,0.83560369273932533,0.94117647058823528,True
D3,pooled,H,9,0.90000000000000002,1,0,,,True
D3,pooled,D,0,0,0.10000000000000001,3,0.086547859885228506,0,True
D3,pooled,D,1,0.10000000000000001,0.20000000000000001,277,0.17138670125405797,0.25992779783393499,False
D3,pooled,D,2,0.20000000000000001,0.29999999999999999,1219,0.24132669839733284,0.23789991796554552,False
D3,pooled,D,3,0.29999999999999999,0.40000000000000002,21,0.31401923146392352,0.19047619047619047,False
D3,pooled,D,4,0.40000000000000002,0.5,0,,,True
D3,pooled,D,5,0.5,0.59999999999999998,0,,,True
D3,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
D3,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
D3,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
D3,pooled,D,9,0.90000000000000002,1,0,,,True
D3,pooled,A,0,0,0.10000000000000001,63,0.076276797532712159,0.079365079365079361,False
D3,pooled,A,1,0.10000000000000001,0.20000000000000001,272,0.15599234259244038,0.15441176470588236,False
D3,pooled,A,2,0.20000000000000001,0.29999999999999999,405,0.25228745493368299,0.22222222222222221,False
D3,pooled,A,3,0.29999999999999999,0.40000000000000002,387,0.34613900226920624,0.35400516795865633,False
D3,pooled,A,4,0.40000000000000002,0.5,233,0.44696757385771291,0.45064377682403434,False
D3,pooled,A,5,0.5,0.59999999999999998,115,0.54227700943080748,0.56521739130434778,False
D3,pooled,A,6,0.59999999999999998,0.69999999999999996,37,0.63755769646144367,0.7567567567567568,False
D3,pooled,A,7,0.69999999999999996,0.80000000000000004,7,0.74218691957321881,0.7142857142857143,True
D3,pooled,A,8,0.80000000000000004,0.90000000000000002,1,0.83849477945122153,1,True
D3,pooled,A,9,0.90000000000000002,1,0,,,True
D3,pooled,pooled,0,0,0.10000000000000001,71,0.076872612616111918,0.084507042253521125,False
D3,pooled,pooled,1,0.10000000000000001,0.20000000000000001,610,0.16389887518489371,0.19672131147540983,False
D3,pooled,pooled,2,0.20000000000000001,0.29999999999999999,1811,0.24554374025042572,0.22915516289342905,False
D3,pooled,pooled,3,0.29999999999999999,0.40000000000000002,723,0.34787121733792248,0.34716459197786997,False
D3,pooled,pooled,4,0.40000000000000002,0.5,628,0.44879819468041526,0.4570063694267516,False
D3,pooled,pooled,5,0.5,0.59999999999999998,383,0.544037416365177,0.58485639686684077,False
D3,pooled,pooled,6,0.59999999999999998,0.69999999999999996,220,0.64408389685247047,0.61363636363636365,False
D3,pooled,pooled,7,0.69999999999999996,0.80000000000000004,96,0.74395120126984615,0.67708333333333337,False
D3,pooled,pooled,8,0.80000000000000004,0.90000000000000002,18,0.83576430866776397,0.94444444444444442,True
D3,pooled,pooled,9,0.90000000000000002,1,0,,,True
D4,pooled,H,0,0,0.10000000000000001,1,0.099278353146854195,0,True
D4,pooled,H,1,0.10000000000000001,0.20000000000000001,52,0.16390487206141219,0.13461538461538461,False
D4,pooled,H,2,0.20000000000000001,0.29999999999999999,184,0.25606191886188945,0.18478260869565216,False
D4,pooled,H,3,0.29999999999999999,0.40000000000000002,338,0.35124398464674744,0.31656804733727811,False
D4,pooled,H,4,0.40000000000000002,0.5,390,0.44864621698447599,0.46923076923076923,False
D4,pooled,H,5,0.5,0.59999999999999998,294,0.54612316959601781,0.59863945578231292,False
D4,pooled,H,6,0.59999999999999998,0.69999999999999996,175,0.64448137199228361,0.59999999999999998,False
D4,pooled,H,7,0.69999999999999996,0.80000000000000004,74,0.74006787066210644,0.71621621621621623,False
D4,pooled,H,8,0.80000000000000004,0.90000000000000002,12,0.81656844259032002,0.91666666666666663,True
D4,pooled,H,9,0.90000000000000002,1,0,,,True
D4,pooled,D,0,0,0.10000000000000001,0,,,True
D4,pooled,D,1,0.10000000000000001,0.20000000000000001,255,0.17305131984646382,0.23529411764705882,False
D4,pooled,D,2,0.20000000000000001,0.29999999999999999,1242,0.24112165092520918,0.24315619967793881,False
D4,pooled,D,3,0.29999999999999999,0.40000000000000002,23,0.31448656960465615,0.17391304347826086,False
D4,pooled,D,4,0.40000000000000002,0.5,0,,,True
D4,pooled,D,5,0.5,0.59999999999999998,0,,,True
D4,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
D4,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
D4,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
D4,pooled,D,9,0.90000000000000002,1,0,,,True
D4,pooled,A,0,0,0.10000000000000001,46,0.079434330193764391,0.065217391304347824,False
D4,pooled,A,1,0.10000000000000001,0.20000000000000001,264,0.15829534693193298,0.14393939393939395,False
D4,pooled,A,2,0.20000000000000001,0.29999999999999999,423,0.25214786244987908,0.22222222222222221,False
D4,pooled,A,3,0.29999999999999999,0.40000000000000002,396,0.34605460581648267,0.3611111111111111,False
D4,pooled,A,4,0.40000000000000002,0.5,244,0.44736430917107045,0.44262295081967212,False
D4,pooled,A,5,0.5,0.59999999999999998,109,0.54072303534650912,0.58715596330275233,False
D4,pooled,A,6,0.59999999999999998,0.69999999999999996,32,0.63125055495038707,0.75,False
D4,pooled,A,7,0.69999999999999996,0.80000000000000004,6,0.73187990603491804,0.66666666666666663,True
D4,pooled,A,8,0.80000000000000004,0.90000000000000002,0,,,True
D4,pooled,A,9,0.90000000000000002,1,0,,,True
D4,pooled,pooled,0,0,0.10000000000000001,47,0.079856543448085474,0.063829787234042548,False
D4,pooled,pooled,1,0.10000000000000001,0.20000000000000001,571,0.16539599211571282,0.18388791593695272,False
D4,pooled,pooled,2,0.20000000000000001,0.29999999999999999,1849,0.24513089742347016,0.23255813953488372,False
D4,pooled,pooled,3,0.29999999999999999,0.40000000000000002,757,0.34741252551497337,0.33553500660501984,False
D4,pooled,pooled,4,0.40000000000000002,0.5,634,0.44815286445061014,0.4589905362776025,False
D4,pooled,pooled,5,0.5,0.59999999999999998,403,0.54466258737964945,0.59553349875930517,False
D4,pooled,pooled,6,0.59999999999999998,0.69999999999999996,207,0.64243602829498581,0.62318840579710144,False
D4,pooled,pooled,7,0.69999999999999996,0.80000000000000004,80,0.73945377331506745,0.71250000000000002,False
D4,pooled,pooled,8,0.80000000000000004,0.90000000000000002,12,0.81656844259032002,0.91666666666666663,True
D4,pooled,pooled,9,0.90000000000000002,1,0,,,True
elo_v1,pooled,H,0,0,0.10000000000000001,0,,,True
elo_v1,pooled,H,1,0.10000000000000001,0.20000000000000001,14,0.17555945765935155,0,True
elo_v1,pooled,H,2,0.20000000000000001,0.29999999999999999,134,0.26296794886888714,0.15671641791044777,False
elo_v1,pooled,H,3,0.29999999999999999,0.40000000000000002,361,0.35507147035751069,0.26869806094182824,False
elo_v1,pooled,H,4,0.40000000000000002,0.5,519,0.45036014496683474,0.46050096339113678,False
elo_v1,pooled,H,5,0.5,0.59999999999999998,346,0.5442359400096447,0.61271676300578037,False
elo_v1,pooled,H,6,0.59999999999999998,0.69999999999999996,134,0.63792587133895251,0.71641791044776115,False
elo_v1,pooled,H,7,0.69999999999999996,0.80000000000000004,12,0.72350978487477224,0.91666666666666663,True
elo_v1,pooled,H,8,0.80000000000000004,0.90000000000000002,0,,,True
elo_v1,pooled,H,9,0.90000000000000002,1,0,,,True
elo_v1,pooled,D,0,0,0.10000000000000001,0,,,True
elo_v1,pooled,D,1,0.10000000000000001,0.20000000000000001,72,0.18778371678774264,0.15277777777777779,False
elo_v1,pooled,D,2,0.20000000000000001,0.29999999999999999,1448,0.22953993560464681,0.24516574585635359,False
elo_v1,pooled,D,3,0.29999999999999999,0.40000000000000002,0,,,True
elo_v1,pooled,D,4,0.40000000000000002,0.5,0,,,True
elo_v1,pooled,D,5,0.5,0.59999999999999998,0,,,True
elo_v1,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
elo_v1,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
elo_v1,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
elo_v1,pooled,D,9,0.90000000000000002,1,0,,,True
elo_v1,pooled,A,0,0,0.10000000000000001,3,0.090456987387313406,0,True
elo_v1,pooled,A,1,0.10000000000000001,0.20000000000000001,173,0.16523969130666413,0.098265895953757232,False
elo_v1,pooled,A,2,0.20000000000000001,0.29999999999999999,491,0.25460036313053813,0.19348268839103869,False
elo_v1,pooled,A,3,0.29999999999999999,0.40000000000000002,517,0.34780137341232759,0.36363636363636365,False
elo_v1,pooled,A,4,0.40000000000000002,0.5,243,0.44398995916526229,0.48559670781893005,False
elo_v1,pooled,A,5,0.5,0.59999999999999998,82,0.53119420784916627,0.63414634146341464,False
elo_v1,pooled,A,6,0.59999999999999998,0.69999999999999996,11,0.62684196288334959,0.72727272727272729,True
elo_v1,pooled,A,7,0.69999999999999996,0.80000000000000004,0,,,True
elo_v1,pooled,A,8,0.80000000000000004,0.90000000000000002,0,,,True
elo_v1,pooled,A,9,0.90000000000000002,1,0,,,True
elo_v1,pooled,pooled,0,0,0.10000000000000001,3,0.090456987387313406,0,True
elo_v1,pooled,pooled,1,0.10000000000000001,0.20000000000000001,259,0.17206458151351844,0.10810810810810811,False
elo_v1,pooled,pooled,2,0.20000000000000001,0.29999999999999999,2073,0.23763642556731962,0.22720694645441389,False
elo_v1,pooled,pooled,3,0.29999999999999999,0.40000000000000002,878,0.35079055905835388,0.32460136674259682,False
elo_v1,pooled,pooled,4,0.40000000000000002,0.5,762,0.44832870776239631,0.46850393700787402,False
elo_v1,pooled,pooled,5,0.5,0.59999999999999998,428,0.54173729039011376,0.61682242990654201,False
elo_v1,pooled,pooled,6,0.59999999999999998,0.69999999999999996,145,0.63708502311128601,0.71724137931034482,False
elo_v1,pooled,pooled,7,0.69999999999999996,0.80000000000000004,12,0.72350978487477224,0.91666666666666663,True
elo_v1,pooled,pooled,8,0.80000000000000004,0.90000000000000002,0,,,True
elo_v1,pooled,pooled,9,0.90000000000000002,1,0,,,True
poisson_walkforward,pooled,H,0,0,0.10000000000000001,41,0.068176052794282738,0.17073170731707318,False
poisson_walkforward,pooled,H,1,0.10000000000000001,0.20000000000000001,151,0.1519763398553855,0.13907284768211919,False
poisson_walkforward,pooled,H,2,0.20000000000000001,0.29999999999999999,211,0.25169428155596824,0.25118483412322273,False
poisson_walkforward,pooled,H,3,0.29999999999999999,0.40000000000000002,275,0.35191743815889304,0.39636363636363636,False
poisson_walkforward,pooled,H,4,0.40000000000000002,0.5,276,0.4479685516290382,0.45289855072463769,False
poisson_walkforward,pooled,H,5,0.5,0.59999999999999998,219,0.54740803791752457,0.57534246575342463,False
poisson_walkforward,pooled,H,6,0.59999999999999998,0.69999999999999996,174,0.64467196612396449,0.64367816091954022,False
poisson_walkforward,pooled,H,7,0.69999999999999996,0.80000000000000004,104,0.74717556799096707,0.59615384615384615,False
poisson_walkforward,pooled,H,8,0.80000000000000004,0.90000000000000002,55,0.84165245497575591,0.90909090909090906,False
poisson_walkforward,pooled,H,9,0.90000000000000002,1,14,0.93047569047484602,0.7857142857142857,True
poisson_walkforward,pooled,D,0,0,0.10000000000000001,34,0.069955807662236497,0.14705882352941177,False
poisson_walkforward,pooled,D,1,0.10000000000000001,0.20000000000000001,365,0.16385790863157446,0.23013698630136986,False
poisson_walkforward,pooled,D,2,0.20000000000000001,0.29999999999999999,1056,0.24279557428552787,0.24715909090909091,False
poisson_walkforward,pooled,D,3,0.29999999999999999,0.40000000000000002,64,0.31916314683620822,0.25,False
poisson_walkforward,pooled,D,4,0.40000000000000002,0.5,1,0.42455072555396328,0,True
poisson_walkforward,pooled,D,5,0.5,0.59999999999999998,0,,,True
poisson_walkforward,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
poisson_walkforward,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
poisson_walkforward,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
poisson_walkforward,pooled,D,9,0.90000000000000002,1,0,,,True
poisson_walkforward,pooled,A,0,0,0.10000000000000001,136,0.064695285631226285,0.080882352941176475,False
poisson_walkforward,pooled,A,1,0.10000000000000001,0.20000000000000001,265,0.15357959370584121,0.14339622641509434,False
poisson_walkforward,pooled,A,2,0.20000000000000001,0.29999999999999999,331,0.25145665987143018,0.23564954682779457,False
poisson_walkforward,pooled,A,3,0.29999999999999999,0.40000000000000002,269,0.34940869717306777,0.38289962825278812,False
poisson_walkforward,pooled,A,4,0.40000000000000002,0.5,212,0.4446606840883463,0.3632075471698113,False
poisson_walkforward,pooled,A,5,0.5,0.59999999999999998,147,0.54339015942415292,0.46258503401360546,False
poisson_walkforward,pooled,A,6,0.59999999999999998,0.69999999999999996,100,0.64877601523822814,0.64000000000000001,False
poisson_walkforward,pooled,A,7,0.69999999999999996,0.80000000000000004,43,0.74548884742250321,0.65116279069767447,False
poisson_walkforward,pooled,A,8,0.80000000000000004,0.90000000000000002,14,0.83499350137106332,0.6428571428571429,True
poisson_walkforward,pooled,A,9,0.90000000000000002,1,3,0.91107064532705484,0.66666666666666663,True
poisson_walkforward,pooled,pooled,0,0,0.10000000000000001,211,0.066219310288760241,0.10900473933649289,False
poisson_walkforward,pooled,pooled,1,0.10000000000000001,0.20000000000000001,781,0.15807318348365659,0.18309859154929578,False
poisson_walkforward,pooled,pooled,2,0.20000000000000001,0.29999999999999999,1598,0.24576456462532545,0.24530663329161451,False
poisson_walkforward,pooled,pooled,3,0.29999999999999999,0.40000000000000002,608,0.34735966518218442,0.375,False
poisson_walkforward,pooled,pooled,4,0.40000000000000002,0.5,489,0.44648657669099784,0.41308793456032722,False
poisson_walkforward,pooled,pooled,5,0.5,0.59999999999999998,366,0.5457942998341212,0.5300546448087432,False
poisson_walkforward,pooled,pooled,6,0.59999999999999998,0.69999999999999996,274,0.64616979426785637,0.64233576642335766,False
poisson_walkforward,pooled,pooled,7,0.69999999999999996,0.80000000000000004,147,0.74668217353896726,0.61224489795918369,False
poisson_walkforward,pooled,pooled,8,0.80000000000000004,0.90000000000000002,69,0.84030136294002145,0.85507246376811596,False
poisson_walkforward,pooled,pooled,9,0.90000000000000002,1,17,0.92705127074288296,0.76470588235294112,True
dc_walkforward,pooled,H,0,0,0.10000000000000001,42,0.067597770184790837,0.19047619047619047,False
dc_walkforward,pooled,H,1,0.10000000000000001,0.20000000000000001,159,0.15233344765461121,0.14465408805031446,False
dc_walkforward,pooled,H,2,0.20000000000000001,0.29999999999999999,213,0.25280155626725004,0.27230046948356806,False
dc_walkforward,pooled,H,3,0.29999999999999999,0.40000000000000002,275,0.3510171466208265,0.37454545454545457,False
dc_walkforward,pooled,H,4,0.40000000000000002,0.5,276,0.44830110637648368,0.46014492753623187,False
dc_walkforward,pooled,H,5,0.5,0.59999999999999998,209,0.54717346574420234,0.58851674641148322,False
dc_walkforward,pooled,H,6,0.59999999999999998,0.69999999999999996,182,0.6456193480767497,0.63736263736263732,False
dc_walkforward,pooled,H,7,0.69999999999999996,0.80000000000000004,95,0.7506869878270046,0.61052631578947369,False
dc_walkforward,pooled,H,8,0.80000000000000004,0.90000000000000002,55,0.84042462023786479,0.89090909090909087,False
dc_walkforward,pooled,H,9,0.90000000000000002,1,14,0.93076715742404248,0.7857142857142857,True
dc_walkforward,pooled,D,0,0,0.10000000000000001,36,0.070825317682867941,0.1111111111111111,False
dc_walkforward,pooled,D,1,0.10000000000000001,0.20000000000000001,354,0.16445033365626063,0.20903954802259886,False
dc_walkforward,pooled,D,2,0.20000000000000001,0.29999999999999999,1010,0.2467929499190378,0.25742574257425743,False
dc_walkforward,pooled,D,3,0.29999999999999999,0.40000000000000002,118,0.32251280779344937,0.2288135593220339,False
dc_walkforward,pooled,D,4,0.40000000000000002,0.5,2,0.42144645917148527,0.5,True
dc_walkforward,pooled,D,5,0.5,0.59999999999999998,0,,,True
dc_walkforward,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
dc_walkforward,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
dc_walkforward,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
dc_walkforward,pooled,D,9,0.90000000000000002,1,0,,,True
dc_walkforward,pooled,A,0,0,0.10000000000000001,137,0.063802310167697454,0.094890510948905105,False
dc_walkforward,pooled,A,1,0.10000000000000001,0.20000000000000001,280,0.15337758523881564,0.1357142857142857,False
dc_walkforward,pooled,A,2,0.20000000000000001,0.29999999999999999,322,0.25207239900184164,0.25155279503105588,False
dc_walkforward,pooled,A,3,0.29999999999999999,0.40000000000000002,274,0.3481327428797652,0.37591240875912407,False
dc_walkforward,pooled,A,4,0.40000000000000002,0.5,212,0.44663116416731274,0.36792452830188677,False
dc_walkforward,pooled,A,5,0.5,0.59999999999999998,137,0.5444739898857186,0.46715328467153283,False
dc_walkforward,pooled,A,6,0.59999999999999998,0.69999999999999996,99,0.64859921503609264,0.6262626262626263,False
dc_walkforward,pooled,A,7,0.69999999999999996,0.80000000000000004,41,0.74436420421083671,0.70731707317073167,False
