rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B0,1,1,10,lam=10,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,10,lam=10,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,10,lam=10,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,30,lam=30,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,30,lam=30,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,30,lam=30,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,100,lam=100,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,100,lam=100,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,100,lam=100,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,2,1,0.01,lam=0.01,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,0.01,lam=0.01,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,0.01,lam=0.01,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,0.029999999999999999,lam=0.03,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,0.029999999999999999,lam=0.03,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
