season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2022-2023,2023-01-19,Manchester City,Tottenham,H,0.45953232937844019,0.42951465734209465,0.57582499954768873,-0.030017672036345533,0.11629267016924855,-0.0054664812821646341,0.63157894736842102,0.60-0.70,7,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2026-01-03,Bournemouth,Arsenal,A,0.45953232937844002,0.42481745978929802,0.67096089666356562,-0.034714869589141994,0.2114285672851256,-0.011119209302681024,0.63157894736842113,0.60-0.70,20,MW 20-31,neither promoted,A,favourite delivered
2022-2023,2023-01-02,Brentford,Liverpool,H,1.8458266904983307,1.5456080752478054,1.6663592389150526,-0.30021861525052529,-0.17946745158327815,-0.091479414227469635,0.63157894736842113,0.60-0.70,19,MW 7-19,neither promoted,A,favourite did not
2023-2024,2024-04-06,Brighton,Arsenal,A,0.45953232937844002,0.45943789897255088,0.7858550971034064,-9.4430405889134317e-05,0.32632276772496638,-0.0025878552168262375,0.63157894736842113,0.60-0.70,32,MW 32-38,neither promoted,A,favourite delivered
2024-2025,2025-04-01,Arsenal,Fulham,H,0.45751305379557028,0.51279557198235437,0.63508988098556929,0.055282518186784091,0.17757682718999901,0.016977995599113296,0.63285556780595364,0.60-0.70,30,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2023-03-01,Liverpool,Wolves,H,0.45564449992995404,0.42474511166647283,0.45551619261611054,-0.030899388263481209,-0.00012830731384350091,-0.0095035192459351769,0.63403919801757147,0.60-0.70,7,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2023-03-04,Manchester City,Newcastle,H,0.45564449992995404,0.56432841315764359,0.53952829598902907,0.10868391322768955,0.083883796059075033,0.033270473490092961,0.63403919801757147,0.60-0.70,26,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2022-09-03,Tottenham,Fulham,H,0.45564449992995404,0.54563413630943502,0.6203586259732915,0.089989636379480986,0.16471412604333746,0.031160502972928938,0.63403919801757147,0.60-0.70,6,MW 1-6,away promoted,H,favourite delivered
2022-2023,2023-02-11,Arsenal,Brentford,D,1.5157469338361882,1.6426423143463631,1.7045714389879476,0.1268953805101749,0.18882450515175941,0.013331689960566828,0.63403919801757147,0.60-0.70,23,MW 20-31,neither promoted,H,favourite did not
2022-2023,2023-01-15,Newcastle,Fulham,H,0.45564449992995404,0.54155951014954729,0.5212125537418778,0.085915010219593246,0.065568053811923765,0.023701182285041145,0.63403919801757147,0.60-0.70,20,MW 20-31,away promoted,H,favourite delivered
