season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2025-2026,2025-10-18,Nottingham,Chelsea,A,0.86232591191470553,0.7244748338393181,0.66180445522254217,-0.13785107807538743,-0.20052145669216337,-0.050061866947985034,0.42217898832684825,0.40-0.50,8,MW 7-19,neither promoted,A,favourite delivered
2022-2023,2023-05-20,Wolves,Everton,D,1.3041586641937448,1.3444593860853993,1.4999336833458943,0.040300721891654456,0.19577501915214945,0.0054026363342506434,0.42217898832684825,0.40-0.50,37,MW 32-38,neither promoted,A,favourite did not
2022-2023,2023-04-05,West Ham,Newcastle,A,0.86232591191470553,0.80367950550573619,0.76497824584651086,-0.058646406408969343,-0.097347666068194671,-0.021264017017683629,0.42217898832684825,0.40-0.50,7,MW 7-19,neither promoted,A,favourite delivered
2025-2026,2025-11-01,Tottenham,Chelsea,A,0.86232591191470553,0.94191313051068759,0.73565344646701336,0.079587218595982057,-0.12667246544769217,0.038933484067690927,0.42217898832684825,0.40-0.50,10,MW 7-19,neither promoted,A,favourite delivered
2024-2025,2024-12-26,Southampton,West Ham,A,0.86232591191470553,0.58772207710846192,0.68993435350983012,-0.27460383480624362,-0.17239155840487541,-0.10006089893321835,0.42217898832684825,0.40-0.50,18,MW 7-19,home promoted,A,favourite delivered
2022-2023,2022-10-20,Leicester City,Leeds United,H,0.86232591191470553,0.52411502133843835,0.69416633132744476,-0.33821089057626719,-0.16815958058726077,-0.11100988105636206,0.42217898832684825,0.40-0.50,12,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2022-11-06,Aston Villa,Manchester Utd,H,1.1827978071894774,1.2029944430088821,1.0590059240338168,0.020196635819404785,-0.12379188315566059,-0.0046381135237563709,0.42217898832684825,0.40-0.50,15,MW 7-19,neither promoted,A,favourite did not
2022-2023,2023-04-02,Newcastle,Manchester Utd,H,0.86232591191470553,0.59616522537466532,0.71233531089968027,-0.26616068654004021,-0.14999060101502526,-0.091977279413758356,0.42217898832684825,0.40-0.50,29,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2023-05-07,Newcastle,Arsenal,A,1.1158124421467075,1.303939653978885,1.181410415239478,0.18812721183217751,0.06559797309277049,0.095146961955214937,0.42230312320367885,0.40-0.50,35,MW 32-38,neither promoted,H,favourite did not
2022-2023,2022-10-01,Bournemouth,Brentford,D,1.2735766002716431,1.5689360513394766,1.3054916062764295,0.29535945106783346,0.031915006004786362,0.066357305406850059,0.42285270112708895,0.40-0.50,9,MW 7-19,home promoted,A,favourite did not
2023-2024,2023-08-27,Burnley,Aston Villa,A,0.86073138486585632,0.38227302679880515,0.58080392642123047,-0.47845835806705117,-0.27992745844462585,-0.1528068725810843,0.42285270112708895,0.40-0.50,3,MW 1-6,home promoted,A,favourite delivered
2024-2025,2024-12-29,Fulham,Bournemouth,D,1.2735766002716431,1.1753024137119121,1.3366009562435308,-0.098274186559730969,0.063024355971887713,-0.013815222056530491,0.42285270112708895,0.40-0.50,19,MW 7-19,neither promoted,H,favourite did not
2025-2026,2025-12-27,Brentford,Bournemouth,H,0.86073138486585632,0.68481739149192689,0.86589406782014877,-0.17591399337392943,0.0051626829542924524,-0.052199089832703299,0.42285270112708895,0.40-0.50,18,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2022-10-29,Fulham,Everton,D,1.2735766002716431,1.4866431349714475,1.3333602590403739,0.21306653469980441,0.059783658768730819,0.045047010438053342,0.42285270112708895,0.40-0.50,14,MW 7-19,home promoted,H,favourite did not
2025-2026,2025-12-03,Brighton,Aston Villa,A,1.2129519784552083,1.0776707709138866,1.446681506879955,-0.13528120754132167,0.2337295284247467,-0.042885649840879669,0.42285270112708895,0.40-0.50,14,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-12-03,Ipswich Town,Crystal Palace,A,0.86073138486585632,0.85026739974620247,0.65950458411367252,-0.010463985119653851,-0.2012268007521838,-0.012740991264506896,0.42285270112708895,0.40-0.50,14,MW 7-19,home promoted,A,favourite delivered
2022-2023,2023-02-15,Arsenal,Manchester City,A,0.86073138486585632,1.0677879849418346,0.89800485377272277,0.20705660007597826,0.037273468906866447,0.08956682651407899,0.42285270112708895,0.40-0.50,12,MW 7-19,neither promoted,A,favourite delivered
2025-2026,2025-08-16,Sunderland,West Ham,H,1.2735766002716431,0.72397794119554115,0.34550113061007742,-0.54959865907610195,-0.92807546966156562,-0.18409670464745731,0.42285270112708895,0.40-0.50,1,MW 1-6,home promoted,A,favourite did not
2025-2026,2025-08-30,Wolves,Everton,A,0.86073138486585632,0.81892268269825597,1.1956414460895555,-0.041808702167600353,0.33491006122369915,-0.016003024847643599,0.42285270112708895,0.40-0.50,3,MW 1-6,neither promoted,A,favourite delivered
2023-2024,2024-04-21,Everton,Nottingham,H,0.86073138486585632,1.096512410809672,0.91901576855674638,0.23578102594381567,0.058284383690890063,0.084409728511608717,0.42285270112708895,0.40-0.50,34,MW 32-38,neither promoted,H,favourite delivered
2025-2026,2026-03-21,Everton,Chelsea,H,1.2129519784552083,1.2563012779647034,1.1732902077104557,0.043349299509495065,-0.039661770744752634,0.00010464152304351382,0.42285270112708895,0.40-0.50,31,MW 20-31,neither promoted,A,favourite did not
2025-2026,2026-04-19,Everton,Liverpool,A,0.86073138486585632,1.0611104825444528,0.98084845824089928,0.20037909767859652,0.12011707337504296,0.064438869704226354,0.42285270112708895,0.40-0.50,33,MW 32-38,neither promoted,A,favourite delivered
2025-2026,2026-02-10,Tottenham,Newcastle,A,0.85785964843831197,1.0461683898427547,1.0274628786393023,0.18830874140444276,0.16960323020099033,0.065004440973152972,0.4240687679083095,0.40-0.50,26,MW 20-31,neither promoted,A,favourite delivered
2025-2026,2025-10-19,Tottenham,Aston Villa,A,1.2002224650788922,1.1309594935221698,1.0241545868588211,-0.069262971556722341,-0.17606787822007108,-0.023861785627951271,0.42431561996779388,0.40-0.50,8,MW 7-19,neither promoted,H,favourite did not
2023-2024,2023-12-21,Crystal Palace,Brighton,D,1.2238715438813084,1.4993889253896007,1.5036208334931249,0.2755173815082923,0.27974928961181655,0.021750880804201733,0.4247957712638154,0.40-0.50,18,MW 7-19,neither promoted,A,favourite did not
2024-2025,2025-04-20,Fulham,Chelsea,A,0.85475844018551028,0.98438102474607003,0.95473530470827483,0.12962258456055975,0.099976864522764552,0.048233870891961128,0.42538593481989706,0.40-0.50,33,MW 32-38,neither promoted,A,favourite delivered
2023-2024,2023-12-16,Burnley,Everton,A,0.85270413846196602,0.75289354810987597,0.66895149995560199,-0.099810590352090056,-0.18375263850636403,-0.026384504814375292,0.42626070409134154,0.40-0.50,17,MW 7-19,home promoted,A,favourite delivered
2023-2024,2024-01-30,Fulham,Everton,D,1.2049247320513181,1.3415903462711187,1.4141959660755148,0.13666561421980061,0.20927123402419667,0.016807588489951703,0.42626070409134154,0.40-0.50,22,MW 20-31,neither promoted,H,favourite did not
2025-2026,2025-11-09,Nottingham,Leeds United,H,0.85204846314580152,0.66859603589120542,0.94552453339146914,-0.1834524272545961,0.09347607024566762,-0.05516868878765796,0.42654028436018954,0.40-0.50,11,MW 7-19,away promoted,H,favourite delivered
2022-2023,2023-05-13,Aston Villa,Tottenham,H,0.8520484631458014,0.63393582028056394,0.89590149579914613,-0.21811264286523746,0.043853032653344726,-0.066911047795316647,0.42654028436018959,0.40-0.50,36,MW 32-38,neither promoted,H,favourite delivered
2025-2026,2026-01-24,West Ham,Sunderland,H,0.85168383233045786,1.3617613125663093,1.1623712807910591,0.51007748023585142,0.31068744846060126,0.15433362500230302,0.42669584245076586,0.40-0.50,23,MW 20-31,away promoted,H,favourite delivered
2023-2024,2024-01-02,West Ham,Brighton,D,1.31370790175582,1.6186960860125834,1.6267498159898373,0.30498818425676344,0.31304191423401728,0.028507179755521,0.4276704769412692,0.40-0.50,20,MW 20-31,neither promoted,A,favourite did not
2025-2026,2025-09-13,West Ham,Tottenham,A,0.84940229362472197,0.85378985935045582,1.0388833696596691,0.0043875657257338441,0.18948107603494713,0.015750662693747058,0.4276704769412692,0.40-0.50,4,MW 1-6,neither promoted,A,favourite delivered
2024-2025,2024-09-28,Brentford,West Ham,D,1.3137079017558198,1.3994707506740254,1.4384875673352751,0.085762848918205625,0.1247796655794553,0.015592098330116905,0.42767047694126925,0.40-0.50,6,MW 1-6,neither promoted,H,favourite did not
2024-2025,2025-02-25,Crystal Palace,Aston Villa,H,0.84940229362472186,0.87080418241689617,0.6541374712175273,0.021401888792174306,-0.19526482240719456,0.0076405862966771598,0.42767047694126925,0.40-0.50,27,MW 20-31,neither promoted,H,favourite delivered
2025-2026,2026-03-04,Fulham,West Ham,A,1.1923470447515521,1.5740773750020245,1.5433356884931524,0.38173033025047243,0.35098864374160033,0.13610841119406486,0.42767047694126925,0.40-0.50,29,MW 20-31,neither promoted,H,favourite did not
2024-2025,2024-11-30,Crystal Palace,Newcastle,D,1.2831410038545399,1.1982884373232467,1.3593404663421709,-0.084852566531293139,0.076199462487630987,-0.010739893504504827,0.42834645669291332,0.40-0.50,13,MW 7-19,neither promoted,A,favourite did not
2024-2025,2025-02-01,Wolves,Aston Villa,H,1.2225163820381051,1.3485362176262301,0.93867283257661549,0.12601983558812502,-0.2838435494614896,0.059850319086397263,0.42834645669291332,0.40-0.50,24,MW 20-31,neither promoted,A,favourite did not
2022-2023,2022-10-23,Tottenham,Newcastle,A,1.2225163820381051,1.7199258241556781,1.3705859472249016,0.49740944211757299,0.14806956518679648,0.15365201449252552,0.42834645669291344,0.40-0.50,13,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-10-27,Arsenal,Liverpool,D,1.2527629684953678,1.1647203206871557,1.2952875056337092,-0.088042647808212138,0.042524537138341367,-0.01227010801254047,0.4285714285714286,0.40-0.50,9,MW 7-19,neither promoted,H,favourite did not
2022-2023,2023-04-15,Everton,Fulham,A,1.2527629684953678,0.87959034542608028,1.2188852450580074,-0.37317262306928756,-0.033877723437360396,-0.1299916316130878,0.4285714285714286,0.40-0.50,31,MW 20-31,away promoted,H,favourite did not
2023-2024,2024-02-17,Nottingham,West Ham,H,0.84506322258578748,0.86635236772540758,0.80036235223716357,0.021289145139620103,-0.044700870348623911,0.016144766379875164,0.42953020134228181,0.40-0.50,25,MW 20-31,neither promoted,H,favourite delivered
2024-2025,2025-05-18,Leicester City,Ipswich Town,H,0.84497857059611259,1.1425630532380464,1.0020497152868368,0.29758448264193382,0.15707114469072425,0.10676397450545996,0.42956656346749228,0.40-0.50,37,MW 32-38,both promoted,H,favourite delivered
2025-2026,2026-04-18,Newcastle,Bournemouth,A,1.155133498899952,1.0750618302913102,1.0940201017523004,-0.080071668608641788,-0.061113397147651627,-0.033834390824729443,0.42956656346749228,0.40-0.50,33,MW 32-38,neither promoted,H,favourite did not
2024-2025,2024-08-17,Nottingham,Bournemouth,D,1.2786001221158443,1.3821094622836303,1.3686131958675869,0.10350934016778601,0.090013073751742612,0.0060005870343956269,0.43029595015576316,0.40-0.50,1,MW 1-6,neither promoted,H,favourite did not
2022-2023,2022-09-03,Wolves,Southampton,H,0.84328205085799879,0.8575029801265962,0.91913112372346706,0.014220929268597415,0.07584907286546827,-0.0044880948871245385,0.43029595015576316,0.40-0.50,6,MW 1-6,neither promoted,H,favourite delivered
2025-2026,2026-01-01,Crystal Palace,Fulham,D,1.2334796868353746,1.3031205473132128,1.3241954262261948,0.06964086047783824,0.090715739390820227,0.0035428721683947451,0.43029595015576316,0.40-0.50,19,MW 7-19,neither promoted,H,favourite did not
2025-2026,2025-12-28,Crystal Palace,Tottenham,A,1.2334796868353746,1.3076009118941934,1.4204892734144783,0.074121225058818796,0.18700958657910371,0.037131914320356008,0.43029595015576316,0.40-0.50,18,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-12-21,Aston Villa,Manchester City,H,1.1848517628791577,1.2899217605746955,1.3972466566017863,0.10506999769553782,0.21239489372262854,0.043336342317524867,0.43088803088803085,0.40-0.50,17,MW 7-19,neither promoted,A,favourite did not
2025-2026,2025-12-27,Burnley,Everton,D,1.1848517628791577,1.265426080345105,1.2779444843026435,0.080574317465947232,0.093092721423485791,0.0072455543814681223,0.43088803088803085,0.40-0.50,18,MW 7-19,home promoted,A,favourite did not
2024-2025,2025-05-11,Tottenham,Crystal Palace,A,0.84190701175232729,1.0144387607718719,1.1162550211686464,0.1725317490195446,0.27434800941631909,0.077403068690752114,0.43088803088803085,0.40-0.50,36,MW 32-38,neither promoted,A,favourite delivered
2024-2025,2024-09-14,Bournemouth,Chelsea,A,0.84190701175232729,0.71281535012896036,0.77787003861869797,-0.12909166162336694,-0.064036973133629327,-0.038325577694547919,0.43088803088803085,0.40-0.50,4,MW 1-6,neither promoted,A,favourite delivered
2025-2026,2026-03-21,Brighton,Liverpool,H,1.1848517628791577,1.0096862573862992,0.98902137030476633,-0.17516550549285848,-0.19583039257439139,-0.072320991768501486,0.43088803088803085,0.40-0.50,31,MW 20-31,neither promoted,A,favourite did not
2023-2024,2024-04-24,Crystal Palace,Newcastle,H,1.1848517628791577,1.2695070774461561,0.88990064851912332,0.084655314566998374,-0.29495111436003441,0.047568999769242171,0.43088803088803085,0.40-0.50,29,MW 20-31,neither promoted,A,favourite did not
2022-2023,2022-12-26,Crystal Palace,Fulham,A,1.1848517628791575,1.2501417985423071,1.4089296438142522,0.065290035663149615,0.22407788093509473,0.019686069725728339,0.4308880308880309,0.40-0.50,17,MW 7-19,away promoted,H,favourite did not
2024-2025,2025-04-13,Wolves,Tottenham,H,0.84190701175232718,1.257056572266313,0.94358115496755313,0.41514956051398577,0.10167414321522594,0.16873524903881204,0.4308880308880309,0.40-0.50,32,MW 32-38,neither promoted,H,favourite delivered
2024-2025,2025-05-11,Liverpool,Arsenal,D,1.3343834968501211,1.373796648873209,1.2966602329051742,0.039413152023087816,-0.037723263944946961,0.00010308321528568198,0.4308880308880309,0.40-0.50,36,MW 32-38,neither promoted,H,favourite did not
2025-2026,2026-01-07,Bournemouth,Tottenham,H,0.84190701175232718,0.89651278136623547,0.67849201535722037,0.054605769613908284,-0.16341499639510682,0.023894418943073981,0.4308880308880309,0.40-0.50,21,MW 20-31,neither promoted,H,favourite delivered
2023-2024,2023-08-19,Tottenham,Manchester Utd,H,1.1517221139820581,0.93660792257802594,0.88263847641984805,-0.21511419140403221,-0.2690836375622101,-0.066869134914601891,0.43103448275862072,0.40-0.50,2,MW 1-6,neither promoted,A,favourite did not
2024-2025,2025-05-11,Newcastle,Chelsea,H,0.84156718567821853,0.85040181533476844,1.1679179016841315,0.0088346296565499083,0.32635071600591292,0.008875508444346536,0.43103448275862072,0.40-0.50,36,MW 32-38,neither promoted,H,favourite delivered
2023-2024,2024-02-03,Everton,Tottenham,D,1.3748656652962679,1.3760717731933798,1.4523237835954499,0.0012061078971119521,0.077458118299182033,-0.0017398290735423927,0.43103448275862072,0.40-0.50,23,MW 20-31,neither promoted,A,favourite did not
2024-2025,2025-05-25,Ipswich Town,West Ham,A,0.83987240058724899,0.67861304939195688,0.94172244028828722,-0.16125935119529211,0.10185003970103823,-0.052960432665868945,0.43176561295296839,0.40-0.50,38,MW 32-38,home promoted,A,favourite delivered
2023-2024,2024-02-10,Wolves,Brentford,A,1.2145658500286596,1.3923981979960314,1.2116091304630006,0.1778323479673718,-0.0029567195656590162,0.082415241509407711,0.43176561295296839,0.40-0.50,24,MW 20-31,neither promoted,H,favourite did not
2022-2023,2022-10-08,Bournemouth,Leicester City,H,1.2145658500286596,1.6038483217227675,1.6802781300935277,0.3892824716941079,0.46571228006486809,0.14033649139572923,0.43176561295296839,0.40-0.50,10,MW 7-19,home promoted,A,favourite did not
2023-2024,2024-05-11,Wolves,Crystal Palace,A,0.83987240058724899,0.92874797063855685,0.81278149242589548,0.088875570051307862,-0.027090908161353511,0.032572142278512295,0.43176561295296839,0.40-0.50,37,MW 32-38,neither promoted,A,favourite delivered
2024-2025,2024-12-08,Tottenham,Chelsea,A,0.83892961071668704,0.98107985877949555,1.1501968665425502,0.14215024806280852,0.31126725582586312,0.052575103923569649,0.43217286914765907,0.40-0.50,15,MW 7-19,neither promoted,A,favourite delivered
2022-2023,2022-08-13,Wolves,Fulham,D,1.2741770629991847,2.47355751431793,1.2841243882225466,1.1993804513187454,0.0099473252233619469,0.2374431017425859,0.43220338983050843,0.40-0.50,2,MW 1-6,away promoted,H,favourite did not
2023-2024,2024-03-30,Nottingham,Crystal Palace,D,1.2443240998495033,1.3139437634810984,1.2028436261182953,0.069619663631595108,-0.041480473731208001,0.0063786357101058566,0.43220338983050843,0.40-0.50,30,MW 20-31,neither promoted,H,favourite did not
2025-2026,2025-09-28,Aston Villa,Fulham,H,0.83885899174133904,0.9155196931007743,0.86961284105814862,0.076660701359435257,0.030753849316809578,0.023942375605985972,0.43220338983050843,0.40-0.50,6,MW 1-6,neither promoted,H,favourite delivered
2023-2024,2023-12-27,Brentford,Wolves,A,1.2443240998495033,1.5352162975166037,1.3256209783941353,0.29089219766710039,0.081296878544631968,0.1203412740055757,0.43220338983050843,0.40-0.50,19,MW 7-19,neither promoted,H,favourite did not
2024-2025,2025-04-14,Bournemouth,Fulham,H,0.83885899174133904,0.93544788442530236,0.76119086872814556,0.096588892683963312,-0.07766812301319348,0.049221123247587012,0.43220338983050843,0.40-0.50,32,MW 32-38,neither promoted,H,favourite delivered
2022-2023,2023-01-04,Crystal Palace,Tottenham,A,0.83885899174133904,0.78902686562338187,0.77561237558670715,-0.049832126117957176,-0.063246616154631896,-0.015625617991748358,0.43220338983050843,0.40-0.50,19,MW 7-19,neither promoted,A,favourite delivered
2025-2026,2025-12-14,West Ham,Aston Villa,A,0.83885899174133904,0.61669415022774299,0.78792362788793979,-0.22216484151359606,-0.050935363853399251,-0.073274469250376367,0.43220338983050843,0.40-0.50,16,MW 7-19,neither promoted,A,favourite delivered
2022-2023,2023-02-11,West Ham,Chelsea,D,1.2443240998495033,1.1004843334491259,1.2674182562648524,-0.14383976640037743,0.023094156415349065,-0.018794461227757242,0.43220338983050843,0.40-0.50,23,MW 20-31,neither promoted,A,favourite did not
2024-2025,2025-03-10,West Ham,Newcastle,A,0.83885899174133904,0.59124630372053855,0.81516081251105676,-0.2476126880208005,-0.023698179230282279,-0.075309504860010423,0.43220338983050843,0.40-0.50,28,MW 20-31,neither promoted,A,favourite delivered
2025-2026,2026-02-08,Brighton,Crystal Palace,A,1.2741770629991847,1.5444541146975426,1.295532639921239,0.27027705169835792,0.021355576922054365,0.072846978219898884,0.43220338983050843,0.40-0.50,25,MW 20-31,neither promoted,H,favourite did not
2024-2025,2025-02-23,Manchester City,Liverpool,A,0.83823435423385662,0.81644219043833466,1.0153326785983374,-0.021792163795521957,0.17709832436448081,0.0027606405832217851,0.4324734446130501,0.40-0.50,26,MW 20-31,neither promoted,A,favourite delivered
2023-2024,2023-09-30,Tottenham,Liverpool,H,1.148389282537696,1.2456871011983985,0.83935633274538779,0.097297818660702529,-0.30903294979230822,0.067202157423842779,0.4324734446130501,0.40-0.50,7,MW 7-19,neither promoted,A,favourite did not
2023-2024,2023-12-10,Fulham,West Ham,H,0.83529518944534675,0.70882477743160466,0.76073690613730138,-0.1264704120137421,-0.07455828330804537,-0.026289963545948619,0.43374642516682554,0.40-0.50,16,MW 7-19,neither promoted,H,favourite delivered
2023-2024,2024-04-21,Crystal Palace,West Ham,H,0.83529518944534675,0.9621556949323582,0.56905030157023828,0.12686050548701144,-0.26624488787510847,0.052039117080069142,0.43374642516682554,0.40-0.50,34,MW 32-38,neither promoted,H,favourite delivered
2025-2026,2025-10-26,Everton,Tottenham,A,1.2254928254227226,1.232001832887456,1.1829164757778132,0.006509007464733374,-0.042576349644909417,-0.0067333882380518073,0.43374642516682554,0.40-0.50,9,MW 7-19,neither promoted,H,favourite did not
2022-2023,2023-01-15,Tottenham,Arsenal,A,0.83529518944534675,0.83387088806261012,0.85723696131756855,-0.0014243013827366369,0.021941771872221794,0.01129657667117745,0.43374642516682554,0.40-0.50,20,MW 20-31,neither promoted,A,favourite delivered
2022-2023,2022-08-31,West Ham,Tottenham,D,1.3247815608988565,1.4196779095294361,1.2754654708197584,0.094896348630579608,-0.049316090079098096,0.047892523411252885,0.43504531722054379,0.40-0.50,5,MW 1-6,neither promoted,A,favourite did not
2023-2024,2024-03-16,Burnley,Brentford,H,1.1742630816055599,1.4064221010546776,1.1804831799140529,0.23215901944911765,0.0062200983084930161,0.088666209415306452,0.43547480801648253,0.40-0.50,29,MW 20-31,home promoted,A,favourite did not
2023-2024,2023-08-27,Newcastle,Liverpool,A,1.1742630816055599,1.3333994919186183,1.3499257356297827,0.15913641031305836,0.17566265402422276,0.080075094888961973,0.43547480801648253,0.40-0.50,3,MW 1-6,neither promoted,H,favourite did not
2022-2023,2023-04-04,Chelsea,Liverpool,D,1.2951421914642294,1.2892278148402807,1.4366750817123288,-0.0059143766239486695,0.14153289024809945,-0.0022090367621203089,0.43568464730290463,0.40-0.50,8,MW 7-19,neither promoted,H,favourite did not
2025-2026,2025-12-14,Sunderland,Newcastle,H,1.2656663733312759,0.93628944313693296,1.2425614997450034,-0.32937693019434289,-0.023104873586272445,-0.11292390871354949,0.4358974358974359,0.40-0.50,16,MW 7-19,home promoted,A,favourite did not
2025-2026,2025-10-18,Burnley,Leeds United,H,1.2885572673633803,1.0841964497468997,1.5657773101398016,-0.20436081761648062,0.27722004277642132,-0.056200352858826574,0.43594042805010352,0.40-0.50,8,MW 7-19,both promoted,A,favourite did not
2023-2024,2024-05-19,Brentford,Newcastle,A,0.82971330942254395,0.87907271041107138,1.0816499410675562,0.049359400988527424,0.25193663164501223,0.022537079348596445,0.43617431546471269,0.40-0.50,38,MW 32-38,neither promoted,A,favourite delivered
2024-2025,2024-10-06,Brighton,Tottenham,H,1.1289562042754007,1.2956245392183181,1.0352333304446975,0.16666833494291744,-0.093722873830703213,0.050130287367707971,0.43617431546471269,0.40-0.50,7,MW 7-19,neither promoted,A,favourite did not
2023-2024,2023-08-20,West Ham,Chelsea,H,1.1948225409303268,0.82963808484678825,1.0567231961721817,-0.36518445608353856,-0.13809934475814512,-0.13365979230946051,0.43653432427146488,0.40-0.50,2,MW 1-6,neither promoted,A,favourite did not
2023-2024,2023-08-13,Chelsea,Liverpool,D,1.3443542749012904,1.4921978654367167,1.5118094213923707,0.14784359053542628,0.16745514649108029,0.028021002150367819,0.43653432427146488,0.40-0.50,1,MW 1-6,neither promoted,A,favourite did not
2023-2024,2023-12-24,Wolves,Chelsea,H,1.1948225409303268,1.0396417860460816,0.98532422440559198,-0.15518075488424521,-0.20949831652473483,-0.04340903912087285,0.43653432427146488,0.40-0.50,18,MW 7-19,neither promoted,A,favourite did not
2022-2023,2023-05-28,Brentford,Manchester City,H,1.2245568342795741,1.5385803288568511,1.7077783876752208,0.31402349457727707,0.48322155339564676,0.12305289882621306,0.43741456746729152,0.40-0.50,38,MW 32-38,neither promoted,A,favourite did not
2022-2023,2022-11-05,Wolves,Brighton,A,0.82587053736402194,0.72240769890860079,0.78087254215833501,-0.10346283845542115,-0.044997995205686925,-0.046791842767318403,0.43785365853658537,0.40-0.50,15,MW 7-19,neither promoted,A,favourite delivered
2025-2026,2025-09-28,Newcastle,Arsenal,A,0.82587053736402194,0.78039300242144105,0.94645463307785893,-0.045477534942580888,0.12058409571383699,-0.021986880557727434,0.43785365853658537,0.40-0.50,6,MW 1-6,neither promoted,A,favourite delivered
2024-2025,2025-05-19,Brighton,Liverpool,H,0.82525211768390938,1.5797574176810927,1.1936456921509735,0.7545052999971833,0.36839357446706411,0.29390858410685883,0.43812451960030746,0.40-0.50,37,MW 32-38,neither promoted,H,favourite delivered
2023-2024,2023-10-28,Bournemouth,Burnley,H,0.82234226188468851,0.71552997595116918,0.55551638352370813,-0.10681228593351932,-0.26682587836098037,-0.030474833233855358,0.43940125543215836,0.40-0.50,10,MW 7-19,away promoted,H,favourite delivered
2022-2023,2023-03-04,Aston Villa,Crystal Palace,H,0.82234226188468851,0.72769672596968371,0.6709078888488007,-0.094645535915004797,-0.1514343730358878,-0.029179026439145439,0.43940125543215836,0.40-0.50,26,MW 20-31,neither promoted,H,favourite delivered
2024-2025,2025-05-04,Brighton,Newcastle,D,1.3646821455179654,1.6792587440534992,1.4504061589254198,0.31457659853553377,0.085724013407454391,0.047910703261561577,0.43963204292832503,0.40-0.50,35,MW 32-38,neither promoted,A,favourite did not
2023-2024,2024-03-30,Bournemouth,Everton,H,0.82161368493224685,0.80983643596187993,0.90039607972247893,-0.011777248970366916,0.07878239479023208,-0.0096467169443796574,0.43972150971051666,0.40-0.50,30,MW 20-31,neither promoted,H,favourite delivered
2025-2026,2025-08-31,Aston Villa,Crystal Palace,A,1.2170650205944402,1.1996051696505237,0.95061204927822662,-0.017459850943916555,-0.26645297131621359,-0.017594791276148269,0.44070390206579951,0.40-0.50,3,MW 1-6,neither promoted,H,favourite did not
2025-2026,2026-05-09,Sunderland,Manchester Utd,D,1.3348480562508236,1.3285073741290216,1.4129478571816296,-0.0063406821218019438,0.07809980093080604,0.011573167586509781,0.44070390206579951,0.40-0.50,36,MW 32-38,home promoted,A,favourite did not
2023-2024,2023-08-12,Sheffield United,Crystal Palace,A,0.81938205292833077,1.2695534036612504,2.502694189542698,0.45017135073291958,1.6833121366143673,0.16961038348060237,0.44070390206579951,0.40-0.50,1,MW 1-6,home promoted,A,favourite delivered
2023-2024,2023-12-30,Nottingham,Manchester Utd,H,1.2170650205944402,1.1376085638132685,1.1036295975416224,-0.079456456781171747,-0.11343542305281784,-0.023628888717352414,0.44070390206579951,0.40-0.50,20,MW 20-31,neither promoted,A,favourite did not
2023-2024,2024-05-11,Bournemouth,Brentford,A,1.2170650205944402,1.1637419149120434,1.2429522466079217,-0.053323105682396843,0.025887226013481479,-0.016878896813869226,0.44070390206579951,0.40-0.50,37,MW 32-38,neither promoted,H,favourite did not
2025-2026,2026-04-18,Tottenham,Brighton,D,1.4143844854721772,1.2722565010581597,1.2554784501718488,-0.14212798441401753,-0.15890603530032843,0.0041430152659367447,0.44092707744488407,0.40-0.50,33,MW 32-38,neither promoted,A,favourite did not
2023-2024,2024-05-19,Luton Town,Fulham,A,0.8188757744761479,0.85779494008170176,0.85494538702127088,0.038919165605553863,0.036069612545122975,0.015704343878896521,0.44092707744488407,0.40-0.50,38,MW 32-38,home promoted,A,favourite delivered
2022-2023,2022-09-01,Leicester City,Manchester Utd,A,0.81840519567378722,1.3252081603961168,0.97436418605600139,0.50680296472232955,0.15595899038221417,0.19090005957721679,0.44113461720899344,0.40-0.50,5,MW 1-6,neither promoted,A,favourite delivered
2025-2026,2026-03-20,Bournemouth,Manchester Utd,D,1.3746931935165352,1.3169637979926778,1.3773124529222076,-0.057729395523857363,0.002619259405672425,-0.0074789772725323,0.44113461720899344,0.40-0.50,31,MW 20-31,neither promoted,A,favourite did not
2023-2024,2023-11-04,Brentford,West Ham,H,0.81792827957425196,0.55501897939712996,0.59279558201320748,-0.262909300177122,-0.22513269756104448,-0.081848222376437171,0.44134505158578524,0.40-0.50,11,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2024-11-09,West Ham,Everton,D,1.246382905907115,1.3022798354354463,1.2847338719930541,0.055896929528331363,0.038350966085939131,0.0060180991325434474,0.44134505158578524,0.40-0.50,11,MW 7-19,neither promoted,H,favourite did not
2025-2026,2025-09-20,Burnley,Nottingham,D,1.246382905907115,1.3966577625334184,1.270766751474057,0.15027485662630347,0.024383845566942064,0.0088397901814480651,0.44134505158578524,0.40-0.50,5,MW 1-6,home promoted,A,favourite did not
