rung,fold,test_season,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,inner_best_log_loss,inner_log_loss_at_frozen,inner_folds,design_columns,coef_l2_norm,test_accuracy,test_balanced_accuracy,test_macro_f1,test_log_loss,test_brier_score,test_rps,train_log_loss,generalisation_gap,inner_ll_lam_0.01,inner_ll_lam_0.03,inner_ll_lam_0.1,inner_ll_lam_0.3,inner_ll_lam_1,inner_ll_lam_3,inner_ll_lam_10,inner_ll_lam_30,inner_ll_lam_100
B2,3,2024-2025,100,lam=100,False,True,0.99566819267102502,1.1473894334511456,3,108,0.47168423466714832,0.50526315789473686,0.43862821766047572,0.38549330843448493,1.0176515215555422,0.60856570393517118,0.20907569270054341,0.93626577441782499,0.081385747137717179,1.3114037813161936,1.2865379859537056,1.2433495854790912,1.196736930439861,1.1473894334511456,1.1052046526176105,1.0609683760889226,1.0251539586685885,0.99566819267102502
B2,4,2025-2026,100,lam=100,False,True,1.0046476963296798,1.1025333226158029,3,108,0.48373885976972641,0.47105263157894739,0.41336365605371456,0.34925662004046804,1.0670222318825602,0.64316783979546022,0.21745634326274949,0.94540447005845274,0.12161776182410744,1.1617143727623722,1.1552330848356913,1.1423669998800368,1.1252057254873506,1.1025333226158029,1.0791836091565747,1.0516192821694872,1.0273378447724404,1.0046476963296798
B3,1,2022-2023,100,lam=100,False,True,1.1649549679310085,2.1922929961458375,3,114,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730519,0.21538404320977872,0.90740655281932314,0.11258989312348033,5.7327710086420476,4.156313788403204,3.1378188004017145,2.6471159540529015,2.1922929961458375,1.8121100304580091,1.4902868039114248,1.2990909933778501,1.1649549679310085
B3,2,2023-2024,100,lam=100,False,True,1.0481257765933576,1.4805552213509678,3,114,0.48367703779786902,0.55526315789473679,0.45560201316298876,0.41661229805600941,0.97715393463174294,0.57792227199876089,0.20057984746075927,0.93163939385324812,0.045514540778494816,1.9828735883265347,1.8744603034042369,1.7327480143395182,1.6071254006992826,1.4805552213509678,1.3700134303992464,1.2496044282167824,1.141404097941001,1.0481257765933576
B3,3,2024-2025,100,lam=100,False,True,0.99724705036166306,1.1883284265203986,3,114,0.48112946735718909,0.51842105263157889,0.4533724340175953,0.40769934752357923,1.0121668015216585,0.60505646249588185,0.20760700377781444,0.93489842190540573,0.077268379616252769,1.3922925722839727,1.3636930589618679,1.3127304088340184,1.2548959617882955,1.1883284265203986,1.1297732745577456,1.072460231005582,1.0300547278513716,0.99724705036166306
B3,4,2025-2026,100,lam=100,False,True,1.0031057273654016,1.1122004453516363,3,114,0.50739886289106784,0.4631578947368421,0.40719081654754169,0.34400651040358471,1.0679611469648036,0.643437257124993,0.21714548871436154,0.94267796194579001,0.12528318501901359,1.1912499982025395,1.1838784098914499,1.1681906172529937,1.1450065732048837,1.1122004453516363,1.08120193505494,1.0499962073784663,1.025171227040411,1.0031057273654016
B4,1,2022-2023,100,lam=100,False,True,1.1649549679310087,2.1922929961458375,3,117,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730508,0.21538404320977872,0.90740655281932314,0.11258989312348033,5.7327710086420494,4.1563137884032013,3.1378188004017145,2.647115954052901,2.1922929961458375,1.8121100304580089,1.4902868039114248,1.2990909933778501,1.1649549679310087
B4,2,2023-2024,100,lam=100,False,True,1.0479561706231431,1.4840211015746512,3,117,0.49519739613336783,0.55263157894736847,0.45640727835849787,0.4241273286308555,0.98154993797956658,0.58024845599492114,0.20125642124060014,0.92908977440286711,0.05246016357669947,2.0027794002083787,1.8896416313422399,1.7424466198840409,1.6130344297403452,1.4840211015746512,1.3723074199709828,1.2511263198197671,1.1421550062723806,1.0479561706231431
B4,3,2024-2025,100,lam=100,False,True,0.99999219052908339,1.199348190150926,3,117,0.48418673541597523,0.52368421052631575,0.46054089279895732,0.42079393726140074,1.01512866610756,0.60682841787839914,0.20826013519480396,0.93421911595535656,0.080909550152203469,1.4200683363668647,1.3871870377940621,1.3306615409052647,1.2684760736996823,1.199348190150926,1.1397471393195786,1.0807751879661445,1.0358403140403658,0.99999219052908339
B4,4,2025-2026,100,lam=100,False,True,1.0055583500099767,1.1215921652890408,3,117,0.50852794886250852,0.46842105263157896,0.41303876976391596,0.3485647917703667,1.0664768773742239,0.64257810965675743,0.21694067537110345,0.9424360241949189,0.12404085317930502,1.2013755286976568,1.1939181286018379,1.1779804841039352,1.1544282446524166,1.1215921652890408,1.0905576818748088,1.0575793760610179,1.0301053424830939,1.0055583500099767
B5,1,2022-2023,100,lam=100,False,True,1.1649549679310087,2.1922929961458375,3,126,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730508,0.21538404320977872,0.90740655281932325,0.11258989312348022,5.7327710086420502,4.1563137884032031,3.137818800401714,2.647115954052901,2.1922929961458375,1.8121100304580089,1.4902868039114248,1.2990909933778501,1.1649549679310087
B5,2,2023-2024,100,lam=100,False,True,1.0501087218747931,1.5057039645267132,3,126,0.51869639921718103,0.55526315789473679,0.4691134339914827,0.45230725705596225,0.98992685179154893,0.58402767620655016,0.20242635440477472,0.92478709278276694,0.065139759008781994,2.0430475828898795,1.9232955373368694,1.7722906887005507,1.6398787555912879,1.5057039645267132,1.3890144370725725,1.2629341270246615,1.1488971746628673,1.0501087218747931
B5,3,2024-2025,100,lam=100,False,True,1.0045031281793835,1.2477234181340384,3,126,0.50096717918430433,0.50789473684210529,0.44227761485825995,0.3917573001971979,1.0186755628412139,0.60954424141474928,0.20977784568059801,0.93163488880788481,0.087040674033329046,1.5255791642835455,1.4817210715487559,1.4125807586494636,1.3349635193693097,1.2477234181340384,1.1750398196718637,1.1042980692320568,1.0490140852654959,1.0045031281793835
B5,4,2025-2026,100,lam=100,False,True,1.0095329535251887,1.1733867719738396,3,126,0.51990153484564949,0.46052631578947367,0.40686593025774309,0.3458605664488017,1.0726031277906389,0.64558959125632198,0.21740265103809886,0.94013657000250161,0.13246655778813732,1.3007697160999214,1.2881894178402031,1.2608537631874701,1.2224081399382059,1.1733867719738396,1.1285118566939556,1.081010496181662,1.0423486049245667,1.0095329535251887
B6,1,2022-2023,100,lam=100,False,True,1.1649549679310087,2.1922929961458375,3,132,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730519,0.21538404320977872,0.90740655281932325,0.11258989312348022,5.7327710086420547,4.1563137884032031,3.137818800401714,2.6471159540529015,2.1922929961458375,1.8121100304580089,1.4902868039114248,1.2990909933778501,1.1649549679310087
B6,2,2023-2024,100,lam=100,False,True,1.0505957881167052,1.5134050161819503,3,132,0.53285869264936025,0.55000000000000004,0.46233836624080521,0.44379477595336625,0.99112909552925821,0.58508199450917542,0.2034916145684138,0.92117766707548943,0.069951428453768782,2.0698692505764704,1.9436750935760585,1.7848665632999541,1.649024499945045,1.5134050161819503,1.3946029895515659,1.26611085854001,1.1506243264796818,1.0505957881167052
B6,3,2024-2025,100,lam=100,False,True,1.0047606337474349,1.2714045464583899,3,132,0.5295589204751816,0.51842105263157889,0.45661453242098404,0.4213351535376007,1.0313561797116235,0.61513481922893876,0.21085870342696819,0.92616063616591693,0.10519554354570659,1.606834022491092,1.5472879628044833,1.4560409363177305,1.3656349492812483,1.2714045464583899,1.1900298226756874,1.110386636275466,1.0508701214551679,1.0047606337474349
B6,4,2025-2026,100,lam=100,False,True,1.0141605737278951,1.1985900353783987,3,132,0.53269572627391992,0.46052631578947367,0.40599956681828031,0.34622770919067219,1.0739995635850954,0.64648237128468677,0.21696165882418025,0.93791276050112093,0.13608680308397447,1.4283222501399084,1.3976753316613533,1.336377885258182,1.2677728317607484,1.1985900353783987,1.1429981465725922,1.0899122966345924,1.0489693374592537,1.0141605737278951
