book,season,date,home_team,away_team,result,overround,shin_z,price_H,prop_p_H,shin_p_H,price_D,prop_p_D,shin_p_D,price_A,prop_p_A,shin_p_A
PSC,2022-2023,2022-12-31,Brighton,Arsenal,A,1.0237249942111291,0.011886616084845925,4.4699999999999998,0.21852904617692734,0.21649858973379155,3.77,0.25910473114346561,0.25778624758928265,1.8700000000000001,0.52236622267960697,0.52571516267692575
PSC,2022-2023,2022-12-31,Fulham,Southampton,H,1.0236021638122601,0.011826745721452259,1.8400000000000001,0.53094676826928344,0.53442993878707457,3.8999999999999999,0.25049796246550815,0.24903503602421179,4.4699999999999998,0.21855526926520844,0.2165350251887137
PSC,2022-2023,2022-12-31,Manchester City,Everton,D,1.0221293199554069,0.01143705988561905,1.1499999999999999,0.85073894312046694,0.85929633024538932,9.75,0.10034356765010634,0.096412074261095132,20,0.048917489229426847,0.044291595493515565
PSC,2022-2023,2022-12-31,Newcastle,Leeds United,D,1.0343625349043957,0.017362272401810763,1.46,0.66217741240272399,0.67060491477479278,4.8700000000000001,0.19851725299958461,0.19503208405199285,6.9400000000000004,0.13930533459769123,0.1343630011732144
PSC,2022-2023,2022-12-31,Wolves,Manchester Utd,A,1.023925238261695,0.011980841408058829,4.1200000000000001,0.23704703969793908,0.23532901559631259,3.6899999999999999,0.26467040746761766,0.26344189505487298,1.96,0.49828255283444339,0.50122908934881438
PSC,2022-2023,2023-01-01,Nottingham,Chelsea,D,1.0240059637140237,0.012056461199464685,5.7999999999999998,0.16837186424003936,0.16542408915412657,4.2000000000000002,0.2325135268076734,0.23069598796966173,1.6299999999999999,0.5991146089522873,0.60387992287621173
PSC,2022-2023,2023-01-01,Tottenham,Aston Villa,A,1.0260583106482029,0.013079567398049274,1.6799999999999999,0.58012111890800733,0.5849227523074253,4.2599999999999998,0.22878015956935502,0.22674001758114273,5.0999999999999996,0.19109872152263774,0.18833723011143191
PSC,2022-2023,2023-01-02,Brentford,Liverpool,H,1.0246608230479197,0.012403127267577141,6.2400000000000002,0.15639947058746445,0.15315149463918917,4.6500000000000004,0.20987799923995229,0.20759278341626738,1.54,0.63372253017258329,0.63925572194454339
PSC,2022-2023,2023-01-03,Arsenal,Newcastle,D,1.0224702612991989,0.011264114692630944,1.78,0.54945143548247755,0.55307891684035337,3.9100000000000001,0.25013390157514326,0.2487327852585835,4.8799999999999999,0.20041466294237911,0.19818829790106318
PSC,2022-2023,2023-01-03,Everton,Brighton,A,1.0161054077021332,0.0080543038832665559,3.23,0.3046903607372311,0.30434541165841988,3.3900000000000001,0.29030969474373347,0.28979199594212618,2.4300000000000002,0.40499994451903554,0.40586259239945394
PSC,2022-2023,2023-01-03,Leicester City,Fulham,A,1.0230057632129346,0.011507889372713576,2.3599999999999999,0.41419983033968949,0.41558805131321919,3.6699999999999999,0.26635193449636707,0.26520352469248071,3.0600000000000001,0.31944823516394349,0.31920842399430011
PSC,2022-2023,2023-01-03,Manchester Utd,Bournemouth,H,1.0274395763870898,0.01397578974807745,1.29,0.7544908880924367,0.76311878157474911,6.0499999999999998,0.1608749166345857,0.15728463925882558,11.5,0.084634195272977691,0.079596579166425291
PSC,2022-2023,2023-01-04,Aston Villa,Wolves,D,1.0236316032405417,0.011834979766514486,1.95,0.50098151639423927,0.50393951709081319,3.5800000000000001,0.27288099356669454,0.27181104836580844,4.3200000000000003,0.2261374900390663,0.22424943454337828
PSC,2022-2023,2023-01-04,Crystal Palace,Tottenham,A,1.0222896902178871,0.011149602751177434,3.3199999999999998,0.29463744196902814,0.29399318465373547,3.4700000000000002,0.2819009531231047,0.28104553160813078,2.3100000000000001,0.42346160490786727,0.42496128373813369
PSC,2022-2023,2023-01-04,Leeds United,West Ham,D,1.0217770007914131,0.010890518604232291,2.9300000000000002,0.33402291112766769,0.33403344462282414,3.4500000000000002,0.28367742887074393,0.28287125056107892,2.5600000000000001,0.38229966000158844,0.38309530481609688
PSC,2022-2023,2023-01-04,Southampton,Nottingham,A,1.0217381626138178,0.010871850326089449,2.4300000000000002,0.40276721453967795,0.40389389560716843,3.3700000000000001,0.29042265024671143,0.28972670349233509,3.1899999999999999,0.30681013521361056,0.30637940090049648
PSC,2022-2023,2023-01-05,Chelsea,Manchester City,A,1.0212894091082192,0.010681315233975697,5.4400000000000004,0.17999161429890648,0.17755812602869794,4.1900000000000004,0.23368839660764945,0.23209734121729675,1.6699999999999999,0.58631998909344396,0.59034453275400534
PSC,2022-2023,2023-01-12,Fulham,Chelsea,H,1.0232526459706988,0.011640250427079835,4.0700000000000003,0.2401168926049192,0.23850093858070279,3.48,0.28082636577644288,0.27991249582505073,2.04,0.47905674161863782,0.48158656559424651
PSC,2022-2023,2023-01-13,Aston Villa,Leeds United,H,1.0180983305049875,0.0090571703302169682,2.0499999999999998,0.47913336406987739,0.48110553214939511,3.6600000000000001,0.26836704818121543,0.26748773030085021,3.8900000000000001,0.25249958774890707,0.25140673754975468
PSC,2022-2023,2023-01-14,Brentford,Bournemouth,H,1.0220818678440469,0.011091844437059961,1.6100000000000001,0.60769888593418697,0.61222500665779545,4.1500000000000004,0.23575788104916651,0.23413708102667177,6.25,0.15654323301664658,0.15363791231553289
PSC,2022-2023,2023-01-14,Brighton,Liverpool,H,1.0222325371440459,0.011121313144475786,2.8999999999999999,0.33732793046315046,0.33739251405365761,3.8100000000000001,0.25675879221604625,0.25549034853516489,2.4100000000000001,0.4059132773208034,0.4071171374111775
PSC,2022-2023,2023-01-14,Everton,Southampton,A,1.022086410378914,0.011046112448108214,2.4199999999999999,0.40429374297489701,0.40546358975553576,3.2599999999999998,0.30011989509179471,0.29957223830231933,3.3100000000000001,0.29558636193330839,0.29496417194214491
PSC,2022-2023,2023-01-14,Manchester Utd,Manchester City,H,1.011550878090322,0.0057805925839191086,4.1799999999999997,0.23650263663693266,0.23566572740754216,4.0199999999999996,0.24591567690108918,0.24515978043068085,1.9099999999999999,0.51758168646197822,0.51917449216177702
PSC,2022-2023,2023-01-14,Nottingham,Leicester City,H,1.0217555331991952,0.010878249786347105,2.7999999999999998,0.34953846153846152,0.34980138879166728,3.2000000000000002,0.30584615384615382,0.30540024520921022,2.8399999999999999,0.34461538461538466,0.34479836599912261
PSC,2022-2023,2023-01-14,Wolves,West Ham,H,1.0226378244752377,0.011320555997452075,2.54,0.38498555204879176,0.38585808847316722,3.1699999999999999,0.30847422782458395,0.3080542616059303,3.1899999999999999,0.30654022012662419,0.30608764992090254
PSC,2022-2023,2023-01-15,Chelsea,Crystal Palace,H,1.0259625126646403,0.013012213199036948,1.8799999999999999,0.51845451178866808,0.52204113311790534,3.5,0.27848413776077025,0.27741399957304508,4.7999999999999998,0.20306135045056167,0.20054486730904958
