rung,fold,test_season,lambda,lambda_label,is_selected,is_frozen_lambda,design_columns,train_matches,test_matches,newton_iterations,gradient_norm,constant_columns,coef_l2_norm,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap,source
B0,1,2022-2023,1000,lam=1000,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_5
B0,1,2022-2023,3000,lam=3000,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_5
B0,1,2022-2023,10000,lam=10000,True,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_5
B0,2,2023-2024,0.01,lam=0.01,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,0.029999999999999999,lam=0.03,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,0.10000000000000001,lam=0.1,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,0.29999999999999999,lam=0.3,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,1,lam=1,False,True,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,3,lam=3,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,10,lam=10,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,30,lam=30,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,100,lam=100,True,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_4
B0,2,2023-2024,300,lam=300,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_5
B0,2,2023-2024,1000,lam=1000,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_5
B0,2,2023-2024,3000,lam=3000,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_5
B0,2,2023-2024,10000,lam=10000,True,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,instrument_5
B0,3,2024-2025,0.01,lam=0.01,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,0.029999999999999999,lam=0.03,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,0.10000000000000001,lam=0.1,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,0.29999999999999999,lam=0.3,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,1,lam=1,False,True,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,3,lam=3,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,10,lam=10,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,30,lam=30,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,100,lam=100,True,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_4
B0,3,2024-2025,300,lam=300,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_5
B0,3,2024-2025,1000,lam=1000,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_5
B0,3,2024-2025,3000,lam=3000,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_5
B0,3,2024-2025,10000,lam=10000,True,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,instrument_5
B0,4,2025-2026,0.01,lam=0.01,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,0.029999999999999999,lam=0.03,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,0.10000000000000001,lam=0.1,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,0.29999999999999999,lam=0.3,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,1,lam=1,False,True,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,3,lam=3,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,10,lam=10,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,30,lam=30,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,100,lam=100,True,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_4
B0,4,2025-2026,300,lam=300,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_5
B0,4,2025-2026,1000,lam=1000,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_5
B0,4,2025-2026,3000,lam=3000,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_5
B0,4,2025-2026,10000,lam=10000,True,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,instrument_5
B1,1,2022-2023,0.01,lam=0.01,False,False,88,380,380,12,1.7386789230577904e-10,29,5.3232214002265854,0.46052631578947367,0.41059821771071653,0.40078874876694054,1.1985715844943399,0.67319962726328086,0.23256619765646963,0.87246813329246431,0.32610345120187556,instrument_4
B1,1,2022-2023,0.029999999999999999,lam=0.03,False,False,88,380,380,11,7.0916841496404537e-10,29,5.0108414636188776,0.4631578947368421,0.41240981191361509,0.40249403741847506,1.187868571818403,0.6711213352240345,0.23182941546396002,0.87255033153316819,0.31531824028523481,instrument_4
B1,1,2022-2023,0.10000000000000001,lam=0.1,False,False,88,380,380,11,1.2635725799015063e-14,29,4.3408934642941235,0.4631578947368421,0.41240981191361509,0.40239435699321535,1.1679452982095535,0.66544565538202383,0.22988900410264695,0.87304892892220287,0.29489636928735063,instrument_4
B1,1,2022-2023,0.29999999999999999,lam=0.3,False,False,88,380,380,10,1.5265566588595902e-14,29,3.4670189949195138,0.46578947368421053,0.41344809246752767,0.40156077733546408,1.1407254744660924,0.65588467421873498,0.22682049189036796,0.87467550142815309,0.26604997303793931,instrument_4
B1,1,2022-2023,1,lam=1,False,True,88,380,380,9,1.226796442210798e-14,29,2.4815603341130599,0.48421052631578948,0.42660244801146829,0.41214109347442679,1.1061351228428846,0.64255891187473946,0.22295963820990908,0.87896730917347843,0.22716781366940619,instrument_4
B1,1,2022-2023,3,lam=3,False,False,88,380,380,8,1.0380585280245214e-14,29,1.7240925785440848,0.48947368421052634,0.42618598957402032,0.40741747975642539,1.074907571763585,0.63022375998449476,0.21956655711850515,0.88620629726948275,0.18870127449410223,instrument_4
B1,1,2022-2023,10,lam=10,False,False,88,380,380,7,7.7715611723760958e-15,29,1.0876009093810797,0.50526315789473686,0.43830206456404824,0.41826796443832953,1.0434715804913699,0.61693732102412724,0.21541555313532018,0.89886855542639132,0.14460302506497857,instrument_4
B1,1,2022-2023,30,lam=30,False,False,88,380,380,6,6.4392935428259079e-14,29,0.68423240315225342,0.51315789473684215,0.43969720032949883,0.41409676872750328,1.0199005682475597,0.60586768242283795,0.21161897862276,0.91470280945335147,0.10519775879420823,instrument_4
B1,1,2022-2023,100,lam=100,True,False,88,380,380,5,1.9182877508683305e-10,29,0.39642561059081977,0.52105263157894732,0.43425955218109596,0.38641124230546203,1.0011196832756624,0.59606966954269924,0.20846999908575736,0.93623626321705433,0.064883420058608032,instrument_4
B1,1,2022-2023,300,lam=300,False,False,88,380,380,5,1.7979839839199485e-11,29,0.23414164540651236,0.52894736842105261,0.43144196250498607,0.3765478605235198,0.99320139034463117,0.59165543847611324,0.20737505212259238,0.95852505537777055,0.034676334966860622,instrument_5
B1,1,2022-2023,1000,lam=1000,True,False,88,380,380,5,5.6843418860808015e-14,29,0.1334007073435324,0.52894736842105261,0.42520941364180298,0.37183303036961574,0.99702331407554512,0.59424286953137917,0.20914014692326452,0.98385448274603993,0.013168831329505193,instrument_5
B1,1,2022-2023,3000,lam=3000,False,False,88,380,380,5,6.0396132539608516e-14,29,0.073746479099944487,0.53157894736842104,0.41081638080042548,0.35563426472517379,1.0123609624210177,0.60490723522052625,0.21448846361105406,1.0111046920287394,0.0012562703922782692,instrument_5
B1,1,2022-2023,10000,lam=10000,False,False,88,380,380,5,7.815970093361102e-14,29,0.030789913512467491,0.49473684210526314,0.34805876878074721,0.25326595765516974,1.033640415703126,0.62066261106966125,0.22222242887180887,1.040875718087485,-0.0072353023843589881,instrument_5
B1,2,2023-2024,0.01,lam=0.01,False,False,88,760,380,8,2.9791002564144575e-14,4,3.8079425321732159,0.51842105263157889,0.42685249709639955,0.4076367389060887,1.0695213909434131,0.61759980736567588,0.21442447197336928,0.91906876859389341,0.15045262234951973,instrument_4
B1,2,2023-2024,0.029999999999999999,lam=0.03,False,False,88,760,380,8,3.0069696732581974e-14,4,3.7066905209253269,0.51578947368421058,0.42278745644599303,0.40156066821542735,1.0686491614069831,0.61741746608478387,0.21431474287889762,0.91907865053529447,0.1495705108716886,instrument_4
B1,2,2023-2024,0.10000000000000001,lam=0.1,False,False,88,760,380,8,2.3628668466280089e-14,4,3.4314927898578009,0.51052631578947372,0.41601238869531554,0.39185100500368186,1.0659994921996452,0.61685052314912403,0.21399053933633258,0.91915927361010674,0.14684021858953844,instrument_4
B1,2,2023-2024,0.29999999999999999,lam=0.3,False,False,88,760,380,8,3.4080377409040352e-14,4,2.9728908929917011,0.51842105263157889,0.42198219125048392,0.3958912586664905,1.0602563454264422,0.61551610522974642,0.2133279046428998,0.91951920920935626,0.14073713621708595,instrument_4
B1,2,2023-2024,1,lam=1,False,True,88,760,380,7,7.0395356210894988e-12,4,2.3198221944217128,0.51842105263157889,0.42062717770034846,0.39182425263683451,1.0476573676145506,0.61199960305840928,0.21194442345855519,0.92082670787698873,0.12683065973756191,instrument_4
B1,2,2023-2024,3,lam=3,False,False,88,760,380,7,2.9407032364758834e-14,4,1.6932209633011737,0.51842105263157889,0.42062717770034846,0.39117019460057145,1.0294427937753361,0.60553534215768567,0.20975384399928315,0.92374600447297439,0.1056967893023617,instrument_4
B1,2,2023-2024,10,lam=10,False,False,88,760,380,6,2.6114665985232932e-12,4,1.0897620793558809,0.53947368421052633,0.43989159891598911,0.40565931218630658,1.0053213225562754,0.59472956641964314,0.2061592011462357,0.92974383199727684,0.075577490558998539,instrument_4
B1,2,2023-2024,30,lam=30,False,False,88,760,380,6,3.4194869158454821e-14,4,0.69557725337444942,0.55000000000000004,0.44857142857142857,0.40832577326646241,0.9847548735446543,0.58395051277155885,0.20256273983386017,0.93754514748325402,0.047209726061400281,instrument_4
B1,2,2023-2024,100,lam=100,True,False,88,760,380,6,2.8421709430404007e-14,4,0.41863917573478726,0.56315789473684208,0.46051103368176544,0.41615130900845188,0.96799470988445513,0.57394718514670706,0.19946429452211351,0.9482522028643966,0.019742507020058531,instrument_4
B1,2,2023-2024,300,lam=300,True,False,88,760,380,6,2.5757174171303632e-14,4,0.26014833737674331,0.55789473684210522,0.45670150987224156,0.41165260175702495,0.96041741636366496,0.56858891215124785,0.198265159319682,0.96006943181676296,0.00034798454690199154,instrument_5
B1,2,2023-2024,1000,lam=1000,False,False,88,760,380,5,3.8219649667325939e-11,4,0.15958468816376994,0.5736842105263158,0.46677506775067751,0.41383035154554665,0.96192435421216493,0.56901785382780989,0.1994766292138806,0.97456603460994351,-0.012641680397778576,instrument_5
B1,2,2023-2024,3000,lam=3000,False,False,88,760,380,5,1.2789769243681803e-13,4,0.1009878805728614,0.57894736842105265,0.46655826558265584,0.41476719071776585,0.97514152375201202,0.57802592616278481,0.20431490208336942,0.99170412931991037,-0.016562605567898347,instrument_5
B1,2,2023-2024,10000,lam=10000,False,False,88,760,380,5,1.9895196601282805e-13,4,0.050497136944446977,0.52631578947368418,0.40591560201316296,0.34455007530120479,1.0041655234223283,0.59930736966535858,0.21497883773545001,1.0182220777291793,-0.014056554306850932,instrument_5
B1,3,2024-2025,0.01,lam=0.01,False,False,88,1140,380,8,7.4876849512350852e-12,4,9.2118861199694777,0.46052631578947367,0.4062398175301401,0.37757150850860738,1.0542537821871694,0.62837153305417781,0.21655752367747808,0.92329593837220203,0.13095784381496733,instrument_4
B1,3,2024-2025,0.029999999999999999,lam=0.03,False,False,88,1140,380,7,1.4488395379264052e-10,4,7.7417550825395969,0.45789473684210524,0.40265558813945912,0.37184120010666816,1.0530135399773977,0.6278473683770589,0.21639357627118286,0.92349194372850896,0.1295215962488887,instrument_4
B1,3,2024-2025,0.10000000000000001,lam=0.1,False,False,88,1140,380,7,5.5316862201948425e-14,4,6.0650110638048131,0.46052631578947367,0.40518084066471166,0.3744517451998563,1.0497537864508202,0.62643901468103136,0.21596505666571375,0.92407254057446453,0.12568124587635565,instrument_4
B1,3,2024-2025,0.29999999999999999,lam=0.3,False,False,88,1140,380,7,4.0384362520740069e-14,4,4.4323610924507646,0.46842105263157896,0.41238188334962533,0.38064242348282656,1.0443569740972585,0.62401797254991342,0.2152377024761869,0.92540639706391603,0.11895057703334244,instrument_4
B1,3,2024-2025,1,lam=1,False,True,88,1140,380,6,8.5811191485873906e-11,4,2.7698521514168339,0.47368421052631576,0.41599869664385797,0.38045032904721499,1.0371738410610605,0.6206416715970009,0.21420258269584447,0.92825963091981956,0.10891421014124092,instrument_4
B1,3,2024-2025,3,lam=3,False,False,88,1140,380,6,9.9420471855182768e-13,4,1.7024952521005632,0.48684210526315791,0.42750081459758876,0.39018699082686509,1.0314359819657681,0.61775955433589613,0.21324159466705878,0.93174982368897175,0.099686158276796388,instrument_4
B1,3,2024-2025,10,lam=10,False,False,88,1140,380,6,4.929390229335695e-14,4,1.0270510565351501,0.49473684210526314,0.43470185728250249,0.39547854021975187,1.0255452405165131,0.61452766078539867,0.21205840592905992,0.93597059850326592,0.089574642013247163,instrument_4
B1,3,2024-2025,30,lam=30,False,False,88,1140,380,6,4.0856207306205761e-14,4,0.66197069315715551,0.49473684210526314,0.43077549690452921,0.37973265655186145,1.0192592847379411,0.61095394658762181,0.21070030319434127,0.94050358508119514,0.078755699656746003,instrument_4
B1,3,2024-2025,100,lam=100,True,False,88,1140,380,6,3.6415315207705135e-14,4,0.41751161906474171,0.49473684210526314,0.42753339850114047,0.36583789537712891,1.0110872570089848,0.60605280407001105,0.20878966826336315,0.94661129071907069,0.064475966289914144,instrument_4
B1,3,2024-2025,300,lam=300,True,False,88,1140,380,6,3.9968028886505635e-14,4,0.2776705761999736,0.50526315789473686,0.43688497882046268,0.37401363380780001,1.0039641852174856,0.6012756526700257,0.20700988933629375,0.95381511414750786,0.050149071069977791,instrument_5
B1,3,2024-2025,1000,lam=1000,False,False,88,1140,380,5,4.7353676535522027e-10,4,0.18057865631915207,0.50526315789473686,0.43613554903877488,0.3727126335821988,1.001736754926039,0.59919625208911331,0.20658407426386546,0.96414415661041653,0.03759259831562245,instrument_5
B1,3,2024-2025,3000,lam=3000,False,False,88,1140,380,5,1.2949641359227826e-12,4,0.12231061566889689,0.49473684210526314,0.42565982404692088,0.36191414170673775,1.0088330058654231,0.60318076836050183,0.20888987285896968,0.97743992374851008,0.031393082116913051,instrument_5
B1,3,2024-2025,10000,lam=10000,False,False,88,1140,380,5,1.6342482922482304e-13,4,0.068248846411248232,0.49473684210526314,0.41966438579341808,0.3460662195251783,1.0299496433547048,0.61741814583645283,0.21611639206878272,1.0018657338083223,0.028083909546382513,instrument_5
B1,4,2025-2026,0.01,lam=0.01,False,False,88,1520,380,8,1.094301402965181e-10,2,8.3957897704212332,0.47631578947368419,0.42092142750037481,0.36843429923910964,1.085104264095567,0.64935488683388187,0.22014222057578844,0.9362547152160392,0.14884954887952784,instrument_4
B1,4,2025-2026,0.029999999999999999,lam=0.03,False,False,88,1520,380,8,1.1299988722512921e-13,2,6.9455133033744216,0.47631578947368419,0.42092142750037481,0.36843429923910964,1.0847054426141349,0.64915647441273283,0.22007073148361905,0.93638514765221759,0.14832029496191734,instrument_4
B1,4,2025-2026,0.10000000000000001,lam=0.1,False,False,88,1520,380,7,8.7325979780672469e-14,2,5.4138194118116312,0.47368421052631576,0.41771629929524662,0.36191241821308145,1.0835259288775352,0.64859495997654504,0.21985669361048704,0.9367375844925071,0.14678834438502808,instrument_4
B1,4,2025-2026,0.29999999999999999,lam=0.3,False,False,88,1520,380,6,6.1249650398212049e-11,2,4.0385429877582508,0.47894736842105262,0.42183152563269521,0.3648783515267997,1.0810748843034157,0.64750368048410323,0.2194223853152838,0.9374943234874763,0.1435805608159394,instrument_4
B1,4,2025-2026,1,lam=1,False,True,88,1520,380,6,2.7458030640858944e-11,2,2.6534498213874089,0.48684210526315791,0.43060345545725665,0.37224319789044708,1.0764417525508021,0.64563173740436097,0.21867726421582581,0.93916410125009764,0.13727765130070446,instrument_4
B1,4,2025-2026,3,lam=3,False,False,88,1520,380,6,8.2959888958455963e-12,2,1.7154673384809882,0.48947368421052634,0.43352743206544381,0.37487945790739302,1.0710165361255028,0.64354501531780195,0.2179119912146206,0.94143650264360113,0.12958003348190172,instrument_4
B1,4,2025-2026,10,lam=10,False,False,88,1520,380,6,6.244449402004193e-13,2,1.0700763297448148,0.48421052631578948,0.4273983272521284,0.36562654788933896,1.0642518456251733,0.64063517579975882,0.21693316388397296,0.94456213936972144,0.11968970625545183,instrument_4
B1,4,2025-2026,30,lam=30,False,False,88,1520,380,6,6.5281113847959205e-14,2,0.6966179952385404,0.48157894736842105,0.4241931990470002,0.35918982977806513,1.0575283248532463,0.63717636861077309,0.2157316265430386,0.94821415514267704,0.10931416971056929,instrument_4
B1,4,2025-2026,100,lam=100,True,False,88,1520,380,6,6.7057470687359455e-14,2,0.44239921868520904,0.48684210526315791,0.43004115226337447,0.36395582329317272,1.0503002658247012,0.63275484147323813,0.21407848421972989,0.95324476959097104,0.09705549623373011,instrument_4
B1,4,2025-2026,300,lam=300,True,False,88,1520,380,6,4.7961634663806763e-14,2,0.29880132111318131,0.48684210526315791,0.42830842538444874,0.3615533602543059,1.0448348462687427,0.62878062416142921,0.2126211445692151,0.95915810981749472,0.085676736451247959,instrument_5
B1,4,2025-2026,1000,lam=1000,False,False,88,1520,380,6,7.1054273576010019e-14,2,0.19768281333582552,0.49210526315789471,0.43069092484297161,0.36315423138952552,1.0410969477751759,0.62559394401656165,0.21168435725942067,0.96795701950956758,0.073139928265608334,instrument_5
B1,4,2025-2026,3000,lam=3000,False,False,88,1520,380,5,8.8071772097464418e-12,2,0.13630760614642426,0.48684210526315791,0.42224388130820878,0.35511948423769368,1.0412227020954925,0.6251261933429938,0.21192862638785245,0.97951662854848853,0.06170607354700397,instrument_5
B1,4,2025-2026,10000,lam=10000,False,False,88,1520,380,5,3.694822225952521e-13,2,0.080237922811532594,0.49210526315789471,0.41856183669049168,0.34806034482758624,1.0494421127586089,0.63032531053031082,0.21475515305549694,1.001298902205686,0.048143210552922922,instrument_5
B2,1,2022-2023,0.01,lam=0.01,False,False,108,380,380,14,1.7386482878412046e-14,29,5.8741004603787941,0.45263157894736844,0.39738425894086599,0.38666994791025799,1.3205199597541657,0.72333258421563829,0.25598979222220503,0.83368621116228359,0.48683374859188211,instrument_4
