fold,test_season,cutoff,window_matches,c_pooled,c_home,c_away,rho,goals_home_multiplier,sot_home_multiplier,goals_degenerate,sot_degenerate,goals_converged,sot_converged
2,2023-2024,2023-09-18,808,0.32400809607903197,0.32452770983678592,0.32337335608269269,0.15131865434010228,1.2531950023505547,1.2246243354889887,0,0,True,True
2,2023-2024,2023-09-23,809,0.32379694233507195,0.32410073813787038,0.32342565886247648,0.13843768693587044,1.2396419933197009,1.2193086986239083,0,0,True,True
2,2023-2024,2023-09-24,814,0.32118903671425364,0.32192205026581283,0.32030424961007581,0.11702220914470296,1.2239949804418089,1.2041764259756145,0,0,True,True
2,2023-2024,2023-09-30,819,0.32323504198652231,0.32321374889531274,0.32326003174805246,0.12069107341942018,1.1882289306826521,1.1705431049659762,0,0,True,True
2,2023-2024,2023-10-01,827,0.32355861866019192,0.32383894074088437,0.3232256910358029,0.13739063247315378,1.2014357040291332,1.1838166294454993,0,0,True,True
2,2023-2024,2023-10-02,828,0.32360241813460755,0.32477198432347021,0.32222277140462213,0.12253246485428247,1.2044965978877229,1.1772463610533133,0,0,True,True
2,2023-2024,2023-10-03,829,0.32340410611742848,0.3234243900358284,0.32338023548602068,0.1244856367037822,1.1895648611242422,1.1778640969922016,0,0,True,True
2,2023-2024,2023-10-07,830,0.32395524123729658,0.32346560086318271,0.32453010187501746,0.12507419413521162,1.1817689481893114,1.1765477386604541,0,0,True,True
2,2023-2024,2023-10-08,836,0.32333046900471857,0.32294570659098198,0.32378343392815201,0.12425990329356493,1.1956977584632495,1.1791868277975279,0,0,True,True
2,2023-2024,2023-10-21,840,0.32593561815458594,0.32626152226393018,0.32555356320830026,0.11970157961113359,1.2126658912175661,1.1851766316875589,0,0,True,True
2,2023-2024,2023-10-22,848,0.32612350687972291,0.32630861183369192,0.32590029242805324,0.11950298440065034,1.22673314871218,1.2176865704314874,0,0,True,True
2,2023-2024,2023-10-23,849,0.32717871955743816,0.32865002127078785,0.32539922043971753,0.12136313553330368,1.2366029619734444,1.2176323697851208,0,0,True,True
2,2023-2024,2023-10-27,850,0.32671729078441314,0.3291366588487995,0.32378564640800639,0.12074027827217347,1.2431177159809277,1.2151494375433305,0,0,True,True
2,2023-2024,2023-10-28,851,0.32801187644846264,0.32915420984235222,0.32662420637271211,0.12012516855796773,1.2395625313958205,1.2199207786200081,0,0,True,True
2,2023-2024,2023-10-29,855,0.32990003933495815,0.33154782476727318,0.32788130470632559,0.11501602772380981,1.2428588041674642,1.2208402125634932,0,0,True,True
2,2023-2024,2023-11-04,860,0.32807507382817636,0.32940454260059437,0.32644572796609755,0.1199066047182822,1.2246971424173769,1.2122628450263211,0,0,True,True
2,2023-2024,2023-11-05,867,0.33264248862333823,0.33440580090927524,0.33046073851598506,0.13724291865417534,1.2431399459378205,1.2281138319157616,0,0,True,True
2,2023-2024,2023-11-06,869,0.33143771977441217,0.33483408402304055,0.32725269754765873,0.12119453532074421,1.2726256018033517,1.2359485125623748,0,0,True,True
2,2023-2024,2023-11-11,870,0.33193947840608956,0.33394511376462138,0.3294838506031999,0.12419886862863937,1.2490254676290355,1.2272254602602621,0,0,True,True
2,2023-2024,2023-11-12,875,0.33126423378650399,0.33479729823025628,0.32691844856097252,0.12860702150461156,1.2619589577804251,1.2295348533804635,0,0,True,True
2,2023-2024,2023-11-25,880,0.33251455288494736,0.33682743732610704,0.32715913505486788,0.1140376288924244,1.2681641499497225,1.2299771947172684,0,0,True,True
