rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B0,3,2,10000,lam=10000,569,286,2023-01-19,2023-01-21,1.0535436242878471,0.23016424011988637,0.47552447552447552,0
B0,3,3,10000,lam=10000,855,285,2023-10-28,2023-10-29,1.0506906898461825,0.23208713792277963,0.47017543859649125,0
B0,4,1,100,lam=100,380,380,2022-05-22,2022-08-05,1.0546504846060354,0.23006925207756235,0.48421052631578948,0
B0,4,2,100,lam=100,760,380,2023-05-28,2023-08-11,1.0537563827171668,0.23374047783933521,0.46052631578947367,0
B0,4,3,100,lam=100,1140,380,2024-05-19,2024-08-16,1.0826402716069496,0.2358314096645121,0.40789473684210525,0
B0,4,1,300,lam=300,380,380,2022-05-22,2022-08-05,1.0546504846060354,0.23006925207756235,0.48421052631578948,0
B0,4,2,300,lam=300,760,380,2023-05-28,2023-08-11,1.0537563827171668,0.23374047783933521,0.46052631578947367,0
B0,4,3,300,lam=300,1140,380,2024-05-19,2024-08-16,1.0826402716069496,0.2358314096645121,0.40789473684210525,0
B0,4,1,1000,lam=1000,380,380,2022-05-22,2022-08-05,1.0546504846060354,0.23006925207756235,0.48421052631578948,0
B0,4,2,1000,lam=1000,760,380,2023-05-28,2023-08-11,1.0537563827171668,0.23374047783933521,0.46052631578947367,0
B0,4,3,1000,lam=1000,1140,380,2024-05-19,2024-08-16,1.0826402716069496,0.2358314096645121,0.40789473684210525,0
B0,4,1,3000,lam=3000,380,380,2022-05-22,2022-08-05,1.0546504846060354,0.23006925207756235,0.48421052631578948,0
B0,4,2,3000,lam=3000,760,380,2023-05-28,2023-08-11,1.0537563827171668,0.23374047783933521,0.46052631578947367,0
B0,4,3,3000,lam=3000,1140,380,2024-05-19,2024-08-16,1.0826402716069496,0.2358314096645121,0.40789473684210525,0
B0,4,1,10000,lam=10000,380,380,2022-05-22,2022-08-05,1.0546504846060354,0.23006925207756235,0.48421052631578948,0
B0,4,2,10000,lam=10000,760,380,2023-05-28,2023-08-11,1.0537563827171668,0.23374047783933521,0.46052631578947367,0
B0,4,3,10000,lam=10000,1140,380,2024-05-19,2024-08-16,1.0826402716069496,0.2358314096645121,0.40789473684210525,0
B1,1,1,100,lam=100,97,93,2021-10-30,2021-10-31,1.3951530728809658,0.30791997753821837,0.25806451612903225,30
B1,1,2,100,lam=100,190,95,2022-01-02,2022-01-03,1.0392625427383961,0.22381340294377733,0.52631578947368418,29
B1,1,3,100,lam=100,285,95,2022-03-18,2022-03-19,0.97747621512419836,0.20289970982426889,0.51578947368421058,29
B1,1,1,300,lam=300,97,93,2021-10-30,2021-10-31,1.2536583755994226,0.28031485729025674,0.26881720430107525,30
