arm,fold,team,parameter,refits,mean_abs_change,mean_level,relative_change
sot,1,Crystal Palace,defence,117,0.037569781067583595,3.498384093503641,0.010739181308693111
sot,1,Everton,attack,117,0.009343094928099465,0.89939630079262256,0.010388184741104178
sot,1,Everton,defence,117,0.041692269368042913,4.379300488622361,0.0095203034083551664
sot,1,Leeds United,attack,117,0.0087445162091993097,0.95610648037160362,0.0091459647944239809
sot,1,Leeds United,defence,117,0.050996526798431356,4.5362007712352463,0.011242122950511418
sot,1,Leicester City,attack,117,0.011291337359416464,0.99083875416829681,0.011395736502953334
sot,1,Leicester City,defence,117,0.044758970145341186,4.077081511656222,0.010978188691439447
sot,1,Liverpool,attack,117,0.011522450631878877,1.4581774232217299,0.0079019538009448241
sot,1,Liverpool,defence,117,0.037020688929676838,3.2390507559776602,0.011429487130251123
sot,1,Manchester City,attack,117,0.014262666314687427,1.4610147225219516,0.0097621646755672118
sot,1,Manchester City,defence,117,0.032874150410712004,2.0777274891451576,0.015822166565374492
sot,1,Manchester Utd,attack,117,0.012416129972245697,1.2741109244219089,0.0097449364370524941
sot,1,Manchester Utd,defence,117,0.039143615646133549,3.6215404966652849,0.01080855389638111
sot,1,Newcastle,attack,117,0.010951623063209286,1.1472864738781858,0.0095456743477410535
sot,1,Newcastle,defence,117,0.043742192411988526,3.2105020793554564,0.013624720162389756
sot,1,Norwich City,attack,117,0.0022575250019545167,0.69496371375987087,0.0032484070135704291
sot,1,Norwich City,defence,117,0.023472608519597784,5.4552595264882893,0.004302748275425824
sot,1,Southampton,attack,117,0.010669707383412396,0.94852580660840957,0.011248726507045148
sot,1,Southampton,defence,117,0.032294040207449831,3.7649695935156648,0.0085775035907512346
sot,1,Tottenham,attack,117,0.010169214373758321,1.3045112362979621,0.0077954210671402607
sot,1,Tottenham,defence,117,0.037256706607307795,3.6055175062427529,0.010333248013024449
sot,1,Watford,attack,117,0.0025119259982489825,0.72072858670491446,0.0034852592842656762
sot,1,Watford,defence,117,0.02005916395365543,4.5212392077779882,0.0044366517743956576
sot,1,West Ham,attack,117,0.0080530257616267288,0.90191858809783176,0.0089287723613843632
sot,1,West Ham,defence,117,0.037541205353292244,3.7444371533806158,0.010025860714312874
sot,1,Wolves,attack,117,0.0075434615657554412,0.84562686308024271,0.00892055573811594
sot,1,Wolves,defence,117,0.034834112090968136,3.9248200582461692,0.0088753399070565231
goals,1,Bournemouth,attack,115,0.032948610239251143,0.78327247317158777,0.042065323840422067
